DT,TEB_RZ,TEB_NRZ,TEB_NRZT
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.2542,0.0,0.0
10,0.2517,0.0,0.0
11,0.2514,0.0,0.2519
12,0.2494,0.0,0.5007
13,0.2496,0.0,0.5054
14,0.2506,0.0,0.4948
15,0.247,0.2514,0.3742
16,0.2509,0.1217,0.2509
17,0.2499,0.1241,0.247
18,0.247,0.126,0.2515
19,0.2497,0.124,0.2517
20,0.1246,0.1221,0.2468
21,0.1241,0.1253,0.25
22,0.1201,0.1259,0.2504
23,0.1271,0.1227,0.246
24,0.2497,0.1273,0.2552
25,0.2519,0.1245,0.2482
26,0.2477,0.1214,0.2525
27,0.2562,0.1221,0.248
28,0.2478,0.1225,0.2491
29,0.2511,0.125,0.2472
30,0.2491,0.2532,0.2473
31,0.2531,0.1298,0.1867
32,0.2446,0.1171,0.1829
33,0.2468,0.1172,0.1862
34,0.2525,0.1302,0.1884
35,0.1214,0.1199,0.1862
36,0.1243,0.1231,0.1894
37,0.123,0.1284,0.1928
38,0.1166,0.1306,0.196
39,0.2493,0.1203,0.1901
40,0.2524,0.1209,0.1893
41,0.2481,0.128,0.2508
42,0.2495,0.1256,0.2838
43,0.2522,0.1254,0.2874
44,0.2489,0.124,0.2759
45,0.2487,0.2567,0.2532
46,0.2479,0.1279,0.1843
47,0.2523,0.123,0.1857
48,0.2519,0.1222,0.1846
49,0.2446,0.1276,0.1885
50,0.1256,0.1239,0.1878
51,0.1294,0.1275,0.1847
52,0.1234,0.1272,0.1863
53,0.1258,0.1198,0.191
54,0.2547,0.1252,0.1818
55,0.2536,0.1245,0.1836
56,0.2474,0.1206,0.2573
57,0.2508,0.1243,0.2838
58,0.2509,0.1272,0.28
59,0.2506,0.1195,0.2797
60,0.2547,0.2474,0.2528
61,0.2512,0.1278,0.1912
62,0.2505,0.1255,0.1847
63,0.2517,0.1246,0.1909
64,0.2502,0.1225,0.1861
65,0.1229,0.1264,0.1788
66,0.1221,0.1262,0.1864
67,0.1255,0.1308,0.1942
68,0.1242,0.1299,0.1894
69,0.2489,0.1288,0.1873
70,0.2488,0.1281,0.1881
71,0.2547,0.1293,0.249
72,0.2516,0.1265,0.2751
73,0.2502,0.1278,0.2801
74,0.2423,0.1278,0.2906
75,0.2474,0.2474,0.253
76,0.2474,0.1289,0.1935
77,0.2504,0.1255,0.1887
78,0.2507,0.1214,0.1973
79,0.2498,0.1254,0.1889
80,0.1219,0.1308,0.1934
81,0.1218,0.1268,0.1837
82,0.127,0.1245,0.1864
83,0.1248,0.1279,0.1902
84,0.2488,0.1232,0.1887
85,0.2496,0.1221,0.1862
86,0.251,0.1268,0.2479
87,0.2524,0.1228,0.276
88,0.2484,0.1199,0.2786
89,0.2515,0.1264,0.2773
90,0.2511,0.251,0.2475
