SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.43,0.48,0.41,0.39
-19,0.43,0.6,0.52,0.42
-18,0.49,0.38,0.42,0.42
-17,0.38,0.35,0.31,0.29
-16,0.15,0.37,0.39,0.43
-15,0.42,0.46,0.43,0.36
-14,0.4,0.28,0.39,0.32
-13,0.55,0.36,0.3,0.38
-12,0.3,0.25,0.37,0.32
-11,0.36,0.28,0.29,0.43
-10.0,0.19,0.23,0.32,0.34
-9.5,0.26,0.42,0.24,0.36
-9.0,0.26,0.15,0.29,0.29
-8.5,0.21,0.22,0.2,0.19
-8.0,0.25,0.22,0.23,0.27
-7.5,0.25,0.2,0.13,0.22
-7.0,0.24,0.21,0.18,0.24
-6.5,0.18,0.18,0.13,0.23
-6.0,0.25,0.15,0.12,0.22
-5.5,0.19,0.18,0.11,0.14
-5.0,0.21,0.22,0.17,0.25
-4.5,0.07,0.12,0.22,0.2
-4.0,0.12,0.16,0.15,0.14
-3.5,0.07,0.05,0.17,0.04
-3.0,0.07,0.12,0.05,0.08
-2.9,0.22,0.1,0.11,0.11
-2.8,0.05,0.09,0.08,0.1
-2.7,0.11,0.01,0.09,0.19
-2.6,0.14,0.12,0.12,0.06
-2.5,0.04,0.13,0.15,0.08
-2.4,0.12,0.13,0.07,0.02
-2.3,0.1,0.11,0.14,0.11
-2.2,0.14,0.16,0.07,0.14
-2.1,0.17,0.06,0.04,0.1
-2.0,0.18,0.06,0.08,0.12
-1.9,0.12,0.02,0.06,0.06
-1.8,0.05,0.11,0.12,0.04
-1.7,0.04,0.12,0.08,0.04
-1.6,0.15,0.11,0.11,0.1
-1.5,0.1,0.09,0.09,0.0
-1.4,0.0,0.04,0.06,0.04
-1.3,0.09,0.03,0.08,0.07
-1.2,0.03,0.08,0.08,0.04
-1.1,0.07,0.03,0.05,0.0
-1.0,0.02,0.09,0.03,0.03
-0.9,0.06,0.04,0.07,0.03
-0.8,0.06,0.01,0.1,0.12
-0.7,0.0,0.06,0.06,0.06
-0.6,0.07,0.05,0.11,0.05
-0.5,0.08,0.02,0.07,0.11
-0.4,0.04,0.01,0.08,0.0
-0.3,0.06,0.03,0.03,0.02
-0.2,0.01,0.07,0.03,0.04
-0.1,0.02,0.04,0.0,0.06
0.0,0.02,0.06,0.01,0.01
0.1,0.03,0.09,0.01,0.09
0.2,0.08,0.04,0.06,0.05
0.3,0.0,0.03,0.05,0.04
0.4,0.05,0.0,0.04,0.0
0.5,0.02,0.0,0.02,0.08
0.6,0.02,0.05,0.01,0.0
0.7,0.04,0.05,0.0,0.02
0.8,0.02,0.03,0.0,0.01
0.9,0.05,0.08,0.06,0.02
1.0,0.03,0.0,0.02,0.0
1.1,0.0,0.07,0.01,0.02
1.2,0.05,0.01,0.0,0.0
1.3,0.0,0.0,0.0,0.02
1.4,0.0,0.03,0.0,0.04
1.5,0.0,0.03,0.02,0.0
1.6,0.03,0.03,0.04,0.0
1.7,0.0,0.01,0.04,0.05
1.8,0.0,0.02,0.07,0.0
1.9,0.0,0.0,0.01,0.04
2.0,0.04,0.0,0.0,0.03
2.1,0.0,0.0,0.04,0.03
2.2,0.0,0.0,0.0,0.02
2.3,0.0,0.02,0.0,0.0
2.4,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
2.6,0.0,0.03,0.0,0.01
2.7,0.0,0.0,0.0,0.0
2.8,0.0,0.0,0.0,0.01
2.9,0.0,0.02,0.04,0.0
3.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0
3.3,0.0,0.03,0.0,0.0
3.4,0.0,0.0,0.0,0.01
3.5,0.0,0.0,0.01,0.0
3.6,0.02,0.0,0.0,0.0
3.7,0.0,0.0,0.01,0.02
3.8,0.02,0.0,0.0,0.0
3.9,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.02
4.1,0.03,0.0,0.0,0.0
4.2,0.03,0.0,0.0,0.03
4.3,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0
4.6,0.0,0.0,0.0,0.0
4.7,0.0,0.03,0.0,0.0
4.8,0.0,0.01,0.0,0.0
4.9,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
