SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.4,0.43,0.46,0.43
-18,0.33,0.45,0.42,0.4
-16,0.47,0.45,0.41,0.45
-14,0.3,0.45,0.38,0.36
-12,0.21,0.32,0.38,0.35
-10,0.28,0.3,0.37,0.32
-9,0.32,0.37,0.26,0.32
-8,0.18,0.23,0.2,0.23
-7,0.17,0.32,0.33,0.23
-6,0.14,0.29,0.28,0.27
-5,0.06,0.24,0.27,0.28
-4,0.02,0.22,0.3,0.23
-3.0,0.02,0.15,0.25,0.15
-2.8,0.1,0.16,0.18,0.12
-2.6,0.03,0.2,0.25,0.19
-2.4,0.0,0.14,0.23,0.23
-2.2,0.0,0.23,0.22,0.2
-2.0,0.09,0.23,0.2,0.19
-1.8,0.08,0.1,0.23,0.19
-1.6,0.11,0.2,0.21,0.27
-1.4,0.0,0.19,0.28,0.16
-1.2,0.07,0.14,0.22,0.23
-1.0,0.02,0.15,0.23,0.14
-0.8,0.03,0.19,0.23,0.14
-0.6,0.0,0.15,0.24,0.11
-0.4,0.02,0.11,0.21,0.18
-0.2,0.03,0.15,0.18,0.13
0.0,0.02,0.17,0.25,0.17
0.2,0.0,0.09,0.28,0.11
0.4,0.0,0.13,0.25,0.17
0.6,0.02,0.18,0.24,0.08
0.8,0.0,0.15,0.28,0.13
1.0,0.0,0.11,0.19,0.13
1.2,0.0,0.17,0.2,0.1
1.4,0.0,0.18,0.18,0.21
1.6,0.0,0.19,0.22,0.17
1.8,0.0,0.2,0.2,0.1
2.0,0.03,0.16,0.19,0.12
2.2,0.0,0.12,0.15,0.09
2.4,0.0,0.13,0.25,0.19
2.6,0.0,0.12,0.19,0.03
2.8,0.0,0.1,0.27,0.16
3.0,0.0,0.09,0.19,0.11
3.2,0.0,0.14,0.23,0.15
3.4,0.0,0.18,0.22,0.1
3.6,0.0,0.12,0.27,0.12
3.8,0.0,0.08,0.18,0.15
4.0,0.0,0.13,0.25,0.11
4.2,0.0,0.14,0.26,0.13
4.4,0.0,0.12,0.2,0.17
4.6,0.0,0.15,0.25,0.06
4.8,0.0,0.14,0.2,0.16
5.0,0.0,0.09,0.16,0.22
5.5,0.0,0.11,0.2,0.12
6.0,0.0,0.1,0.24,0.1
6.5,0.0,0.15,0.26,0.12
7.0,0.0,0.17,0.17,0.15
7.5,0.0,0.18,0.21,0.15
8.0,0.0,0.12,0.24,0.15
8.5,0.0,0.16,0.2,0.24
9.0,0.0,0.13,0.23,0.18
9.5,0.0,0.06,0.24,0.14
10.0,0.0,0.17,0.27,0.13
