DT,TEB_RZ,TEB_NRZ,TEB_NRZT
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.2493,0.0,0.0
40,0.2487,0.0,0.0
41,0.2478,0.0,0.2465
42,0.2506,0.0,0.5026
43,0.2521,0.0,0.4926
44,0.2499,0.0,0.5038
45,0.2523,0.0,0.5051
46,0.2477,0.0,0.4999
47,0.2521,0.0,0.493
48,0.2493,0.0,0.489
49,0.2496,0.0,0.4971
50,0.2465,0.0,0.4992
51,0.2498,0.0,0.5044
52,0.2517,0.0,0.4975
53,0.2509,0.0,0.4947
54,0.2498,0.0,0.5005
55,0.2498,0.0,0.4972
56,0.2518,0.0,0.4982
57,0.2494,0.0,0.4966
58,0.2542,0.0,0.5009
59,0.2522,0.0,0.5073
60,0.246,0.2524,0.3728
61,0.2474,0.1272,0.2497
62,0.2477,0.1204,0.2537
63,0.2515,0.1276,0.251
64,0.2517,0.1252,0.2482
65,0.2483,0.1218,0.2502
66,0.2542,0.1273,0.2531
67,0.2495,0.1254,0.2518
68,0.2537,0.1237,0.2513
69,0.2559,0.1226,0.2489
70,0.2455,0.1262,0.2504
71,0.2491,0.1287,0.2494
72,0.2494,0.1245,0.2502
73,0.2504,0.1227,0.2481
74,0.2494,0.1233,0.2486
75,0.2467,0.1225,0.2512
76,0.25,0.1224,0.2508
77,0.2505,0.1265,0.2506
78,0.2483,0.1294,0.247
79,0.2509,0.1237,0.2522
80,0.122,0.1274,0.2503
81,0.122,0.1255,0.2485
82,0.1286,0.1283,0.2507
83,0.1216,0.1217,0.2516
84,0.1309,0.1198,0.2526
85,0.1254,0.1225,0.2485
86,0.1255,0.125,0.2497
87,0.1207,0.1235,0.2477
88,0.1223,0.1284,0.2526
89,0.1256,0.1271,0.2521
90,0.1273,0.1263,0.2474
91,0.1263,0.1257,0.2482
92,0.1282,0.1254,0.246
93,0.1246,0.1224,0.256
94,0.1192,0.1204,0.2465
95,0.124,0.1252,0.2489
96,0.124,0.1271,0.2505
97,0.1271,0.1236,0.2543
98,0.1228,0.1201,0.2465
99,0.2458,0.1246,0.2501
100,0.2524,0.122,0.2552
101,0.2482,0.1251,0.2512
102,0.2505,0.1276,0.2542
103,0.2549,0.1285,0.2458
104,0.2486,0.1287,0.2526
105,0.2478,0.1216,0.2505
106,0.2539,0.1255,0.2496
107,0.2518,0.1256,0.2497
108,0.2482,0.1232,0.2541
109,0.2507,0.1243,0.2496
110,0.2508,0.1253,0.2473
111,0.2507,0.1284,0.2522
112,0.2448,0.1264,0.2521
113,0.2489,0.1272,0.2502
114,0.2549,0.1238,0.2506
115,0.2488,0.1288,0.2505
116,0.2477,0.1234,0.2486
117,0.2565,0.1245,0.2473
118,0.2528,0.1284,0.2511
119,0.252,0.1245,0.2492
120,0.2484,0.249,0.246
