SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.383761,0.38417,0.382329,0.382325
-18,0.354459,0.354058,0.353965,0.354739
-16,0.317596,0.318266,0.319121,0.318693
-14,0.276629,0.276231,0.277037,0.275326
-12,0.227383,0.228063,0.227467,0.227584
-10,0.174267,0.174167,0.173948,0.173402
-9,0.146717,0.147066,0.146276,0.147261
-8,0.120186,0.119863,0.11946,0.119791
-7,0.093253,0.093821,0.093569,0.093909
-6,0.069572,0.070294,0.070596,0.069737
-5,0.050258,0.050333,0.049387,0.049735
-4,0.032869,0.03264,0.032568,0.032647
-3.0,0.020027,0.020144,0.019966,0.019857
-2.8,0.017987,0.017927,0.017926,0.017682
-2.6,0.015891,0.015894,0.015704,0.015832
-2.4,0.01422,0.01402,0.013904,0.014282
-2.2,0.01233,0.012351,0.012484,0.012372
-2.0,0.010996,0.011002,0.010925,0.011189
-1.8,0.009571,0.00929,0.009638,0.009553
-1.6,0.008239,0.008494,0.008457,0.008283
-1.4,0.007367,0.007261,0.007289,0.00722
-1.2,0.006176,0.00626,0.006244,0.00625
-1.0,0.00548,0.005361,0.005385,0.005393
-0.8,0.004487,0.00449,0.004521,0.004706
-0.6,0.003955,0.003786,0.003877,0.003941
-0.4,0.003386,0.003174,0.003206,0.003152
-0.2,0.002896,0.002691,0.002657,0.002776
0.0,0.002305,0.002123,0.002278,0.002293
0.2,0.001838,0.00196,0.001989,0.001844
0.4,0.001579,0.001448,0.001485,0.001487
0.6,0.001267,0.001219,0.001154,0.001324
0.8,0.001096,9.57E-4,9.45E-4,0.001042
1.0,7.36E-4,7.7E-4,7.95E-4,8.44E-4
1.2,5.95E-4,5.76E-4,6.78E-4,6.5E-4
1.4,4.58E-4,4.96E-4,4.46E-4,4.94E-4
1.6,3.84E-4,3.56E-4,3.61E-4,3.63E-4
1.8,2.41E-4,2.75E-4,2.84E-4,2.97E-4
2.0,2.34E-4,2.13E-4,2.44E-4,2.22E-4
2.2,1.76E-4,1.74E-4,1.67E-4,1.55E-4
2.4,1.2E-4,1.29E-4,1.38E-4,1.25E-4
2.6,7.9E-5,9.7E-5,7.3E-5,1.03E-4
2.8,1.02E-4,7.1E-5,6.3E-5,4.8E-5
3.0,3.4E-5,4.1E-5,5.0E-5,6.1E-5
3.2,3.1E-5,3.9E-5,3.2E-5,3.6E-5
3.4,2.0E-5,2.3E-5,2.3E-5,2.1E-5
3.6,1.3E-5,1.4E-5,2.0E-5,1.1E-5
3.8,7.0E-6,4.0E-6,6.0E-6,7.0E-6
4.0,1.0E-6,7.0E-6,1.0E-5,6.0E-6
4.2,6.0E-6,7.0E-6,2.0E-6,8.0E-6
4.4,0.0,4.0E-6,2.0E-6,3.0E-6
4.6,3.0E-6,0.0,0.0,6.0E-6
4.8,0.0,0.0,1.0E-6,7.0E-6
5.0,0.0,0.0,2.0E-6,0.0
5.5,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
