DT,TEB_RZ,TEB_NRZ,TEB_NRZT
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.250118,0.0,0.0
4,0.249774,0.0,0.0
5,0.250003,0.250853,0.249876
6,0.250305,0.125189,0.125106
7,0.124885,0.124882,0.12505
8,0.250384,0.125257,0.125108
9,0.249625,0.124527,0.124879
10,0.249767,0.250039,0.250488
11,0.249922,0.125298,0.12527
12,0.124614,0.125131,0.124737
13,0.249512,0.125056,0.125005
14,0.250082,0.124594,0.125228
15,0.24985,0.250162,0.250086
16,0.25019,0.124367,0.124843
17,0.124623,0.124778,0.124732
18,0.249678,0.125682,0.124966
19,0.249846,0.124796,0.1254
20,0.24993,0.249736,0.249663
21,0.250441,0.124752,0.12501
22,0.124782,0.125052,0.124957
23,0.250015,0.124844,0.125205
24,0.249963,0.124929,0.124741
25,0.249829,0.250201,0.250219
26,0.249942,0.124828,0.124782
27,0.124612,0.125423,0.124827
28,0.250206,0.124934,0.124811
29,0.249812,0.125448,0.124874
30,0.250439,0.249458,0.249911
31,0.249611,0.125494,0.125569
32,0.124455,0.124949,0.125027
33,0.249954,0.12522,0.124894
34,0.24981,0.124539,0.124959
35,0.250689,0.249653,0.250249
36,0.250396,0.12455,0.125013
37,0.12584,0.125397,0.124527
38,0.249903,0.124914,0.124797
39,0.250124,0.12479,0.124848
40,0.250009,0.250213,0.249908
41,0.249964,0.125256,0.125201
42,0.124552,0.125048,0.125362
43,0.250443,0.124767,0.124591
44,0.249957,0.124726,0.125075
45,0.249906,0.24987,0.249694
46,0.250021,0.125311,0.12554
47,0.125547,0.12502,0.125081
48,0.250007,0.125264,0.125303
49,0.249875,0.124496,0.12473
50,0.249983,0.249829,0.249666
51,0.25026,0.124558,0.125468
52,0.125152,0.124968,0.124885
53,0.250081,0.124894,0.124946
54,0.250223,0.125369,0.124983
55,0.250289,0.250414,0.250235
56,0.250198,0.125236,0.124155
57,0.124798,0.125243,0.124959
58,0.249744,0.124769,0.124694
59,0.250396,0.124851,0.124877
60,0.249897,0.249893,0.250382
61,0.249542,0.124733,0.125176
62,0.125191,0.124974,0.125137
63,0.249945,0.124857,0.125424
64,0.250106,0.124951,0.125055
65,0.250319,0.249969,0.250007
66,0.250172,0.124802,0.125347
67,0.12519,0.125532,0.125398
68,0.250032,0.124879,0.124783
69,0.249777,0.12515,0.124723
70,0.249961,0.2504,0.250079
71,0.249624,0.124842,0.125297
72,0.125135,0.125214,0.125341
73,0.249766,0.124752,0.125333
74,0.250042,0.125047,0.124884
75,0.25007,0.25035,0.250453
76,0.249791,0.124626,0.125105
77,0.125188,0.124826,0.125409
78,0.250246,0.125347,0.124504
79,0.249816,0.125076,0.125158
80,0.250225,0.249772,0.250199
81,0.250123,0.124467,0.12512
82,0.124739,0.12549,0.124873
83,0.250002,0.124776,0.125058
84,0.249886,0.124945,0.124578
85,0.249952,0.249892,0.249892
86,0.250008,0.124961,0.124781
87,0.124626,0.124777,0.125352
88,0.24966,0.125117,0.125077
89,0.249557,0.124969,0.1249
90,0.249944,0.250031,0.250355
91,0.249666,0.1251,0.124887
92,0.125439,0.124938,0.124669
93,0.250591,0.124835,0.125159
94,0.249861,0.125196,0.125056
95,0.249972,0.249946,0.249909
96,0.250221,0.125373,0.124232
97,0.125083,0.125032,0.124883
98,0.250026,0.125057,0.12506
99,0.249614,0.124688,0.124983
100,0.250031,0.249686,0.249642
101,0.249966,0.124326,0.125305
102,0.124318,0.125022,0.125136
103,0.249359,0.125267,0.125196
104,0.24999,0.125418,0.125018
105,0.249814,0.249921,0.250027
106,0.25048,0.125246,0.124995
107,0.124967,0.125408,0.125296
108,0.249852,0.125024,0.125008
109,0.250111,0.124964,0.124993
110,0.250323,0.24961,0.24986
111,0.249895,0.124884,0.125035
112,0.124584,0.124772,0.124774
113,0.250161,0.124837,0.125119
114,0.250593,0.124431,0.124967
115,0.249951,0.249602,0.249936
116,0.249888,0.124882,0.125388
117,0.124904,0.124598,0.125394
118,0.250166,0.124684,0.125039
119,0.250087,0.124994,0.124822
120,0.249863,0.249979,0.249722
