SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.3696,0.3572,0.3723,0.3639
-18,0.3251,0.3213,0.3317,0.3169
-16,0.3007,0.2964,0.2862,0.2822
-14,0.2285,0.2457,0.2362,0.2373
-12,0.1941,0.185,0.1887,0.1874
-10,0.1332,0.1494,0.1288,0.1247
-9,0.1046,0.1142,0.1101,0.1021
-8,0.0872,0.0824,0.0909,0.0886
-7,0.0609,0.0647,0.0615,0.0586
-6,0.0383,0.0449,0.0478,0.044
-5,0.029,0.0277,0.0268,0.0262
-4,0.0188,0.0169,0.0194,0.0161
-3.0,0.0096,0.0096,0.0104,0.0081
-2.8,0.0118,0.0072,0.0093,0.008
-2.6,0.0076,0.0056,0.0067,0.0061
-2.4,0.0069,0.0079,0.0058,0.0068
-2.2,0.0054,0.0043,0.0043,0.0059
-2.0,0.0053,0.004,0.0062,0.005
-1.8,0.0037,0.0033,0.0039,0.0043
-1.6,0.0033,0.0027,0.0046,0.0028
-1.4,0.0018,0.001,0.0027,0.0031
-1.2,0.0021,0.0017,0.0021,0.0017
-1.0,0.0011,0.0027,0.001,0.0017
-0.8,0.0023,0.0028,0.0026,0.0016
-0.6,0.001,0.0016,0.0016,0.0015
-0.4,0.001,6.0E-4,6.0E-4,9.0E-4
-0.2,8.0E-4,7.0E-4,0.0012,0.001
0.0,6.0E-4,4.0E-4,8.0E-4,5.0E-4
0.2,1.0E-4,1.0E-4,0.0013,0.0
0.4,4.0E-4,7.0E-4,0.0,5.0E-4
0.6,8.0E-4,4.0E-4,3.0E-4,2.0E-4
0.8,0.0,0.0,0.0,3.0E-4
1.0,0.0,2.0E-4,0.0,1.0E-4
1.2,6.0E-4,0.0,0.0,4.0E-4
1.4,3.0E-4,1.0E-4,0.0,2.0E-4
1.6,2.0E-4,0.0,1.0E-4,0.0
1.8,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.2,2.0E-4,0.0,0.0,0.0
2.4,0.0,2.0E-4,0.0,0.0
2.6,0.0,0.0,0.0,0.0
2.8,0.0,0.0,0.0,0.0
3.0,1.0E-4,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0
3.4,0.0,0.0,0.0,0.0
3.6,0.0,0.0,0.0,0.0
3.8,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.2,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0
4.6,0.0,0.0,0.0,0.0
4.8,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
