DT,TEB_RZ,TEB_NRZ,TEB_NRZT
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.27,0.0,0.0
4,0.24,0.0,0.0
5,0.27,0.27,0.23
6,0.22,0.07,0.11
7,0.16,0.07,0.1
8,0.25,0.13,0.09
9,0.21,0.15,0.11
10,0.28,0.24,0.29
11,0.28,0.15,0.12
12,0.05,0.06,0.11
13,0.27,0.11,0.13
14,0.22,0.08,0.12
15,0.23,0.22,0.21
16,0.22,0.12,0.11
17,0.09,0.12,0.13
18,0.26,0.13,0.1
19,0.24,0.1,0.1
20,0.27,0.23,0.27
21,0.25,0.14,0.14
22,0.13,0.11,0.13
23,0.23,0.11,0.11
24,0.22,0.1,0.1
25,0.22,0.23,0.19
26,0.23,0.03,0.14
27,0.16,0.12,0.12
28,0.21,0.08,0.13
29,0.22,0.13,0.14
30,0.23,0.25,0.23
31,0.24,0.1,0.13
32,0.11,0.08,0.13
33,0.24,0.11,0.11
34,0.2,0.11,0.08
35,0.21,0.23,0.26
36,0.24,0.14,0.08
37,0.1,0.12,0.1
38,0.21,0.11,0.07
39,0.22,0.13,0.15
40,0.23,0.22,0.22
41,0.21,0.09,0.14
42,0.11,0.15,0.14
43,0.22,0.13,0.13
44,0.25,0.15,0.1
45,0.2,0.21,0.24
46,0.25,0.1,0.12
47,0.08,0.11,0.12
48,0.2,0.12,0.12
49,0.23,0.14,0.13
50,0.17,0.22,0.23
51,0.27,0.11,0.12
52,0.14,0.12,0.12
53,0.23,0.05,0.11
54,0.21,0.12,0.15
55,0.24,0.21,0.21
56,0.22,0.11,0.08
57,0.13,0.15,0.12
58,0.19,0.15,0.07
59,0.21,0.06,0.12
60,0.2,0.22,0.24
61,0.28,0.06,0.1
62,0.08,0.12,0.14
63,0.19,0.1,0.09
64,0.2,0.17,0.13
65,0.23,0.21,0.26
66,0.19,0.11,0.15
67,0.13,0.13,0.14
68,0.22,0.04,0.08
69,0.25,0.11,0.09
70,0.22,0.22,0.21
71,0.21,0.1,0.12
72,0.1,0.13,0.18
73,0.18,0.08,0.12
74,0.25,0.08,0.11
75,0.2,0.18,0.18
76,0.19,0.13,0.09
77,0.07,0.09,0.16
78,0.21,0.1,0.09
79,0.21,0.14,0.13
80,0.18,0.21,0.24
81,0.18,0.1,0.09
82,0.09,0.1,0.12
83,0.22,0.13,0.1
84,0.22,0.09,0.15
85,0.21,0.2,0.2
86,0.25,0.07,0.07
87,0.06,0.12,0.18
88,0.24,0.09,0.1
89,0.2,0.1,0.12
90,0.24,0.22,0.23
91,0.2,0.12,0.13
92,0.06,0.09,0.1
93,0.16,0.07,0.04
94,0.16,0.09,0.14
95,0.18,0.22,0.22
96,0.19,0.11,0.15
97,0.1,0.13,0.13
98,0.2,0.12,0.12
99,0.18,0.13,0.11
100,0.24,0.2,0.21
101,0.19,0.09,0.1
102,0.1,0.12,0.1
103,0.2,0.15,0.15
104,0.19,0.05,0.08
105,0.19,0.21,0.16
106,0.22,0.11,0.08
107,0.09,0.14,0.09
108,0.17,0.1,0.08
109,0.19,0.12,0.1
110,0.22,0.13,0.17
111,0.15,0.1,0.11
112,0.08,0.11,0.11
113,0.14,0.12,0.11
114,0.25,0.08,0.1
115,0.2,0.16,0.22
116,0.2,0.1,0.12
117,0.12,0.11,0.05
118,0.19,0.1,0.11
119,0.18,0.09,0.12
120,0.15,0.17,0.14
