SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.494949494949495,0.5252525252525253,0.5454545454545454
-58,0.5151515151515151,0.494949494949495,0.4444444444444444
-56,0.5252525252525253,0.5959595959595959,0.494949494949495
-54,0.5656565656565656,0.5757575757575758,0.42424242424242425
-52,0.5151515151515151,0.42424242424242425,0.45454545454545453
-50,0.48484848484848486,0.47474747474747475,0.5353535353535354
-48,0.5555555555555556,0.46464646464646464,0.5050505050505051
-46,0.5454545454545454,0.46464646464646464,0.5050505050505051
-44,0.494949494949495,0.5050505050505051,0.5353535353535354
-42,0.43434343434343436,0.46464646464646464,0.45454545454545453
-40,0.45454545454545453,0.5151515151515151,0.45454545454545453
-38,0.5353535353535354,0.5252525252525253,0.45454545454545453
-36,0.5151515151515151,0.5151515151515151,0.43434343434343436
-34,0.5454545454545454,0.3434343434343434,0.5151515151515151
-32,0.5555555555555556,0.43434343434343436,0.5252525252525253
-30,0.48484848484848486,0.5454545454545454,0.3939393939393939
-32,0.5454545454545454,0.46464646464646464,0.45454545454545453
-30,0.5252525252525253,0.5353535353535354,0.5757575757575758
-28,0.48484848484848486,0.5151515151515151,0.5757575757575758
-26,0.48484848484848486,0.4444444444444444,0.5454545454545454
-24,0.42424242424242425,0.41414141414141414,0.4444444444444444
-22,0.4444444444444444,0.5353535353535354,0.47474747474747475
-20,0.5757575757575758,0.45454545454545453,0.41414141414141414
-19,0.43434343434343436,0.494949494949495,0.41414141414141414
-18,0.36363636363636365,0.45454545454545453,0.3939393939393939
-17,0.37373737373737376,0.37373737373737376,0.35353535353535354
-16,0.3434343434343434,0.3838383838383838,0.37373737373737376
-15,0.35353535353535354,0.42424242424242425,0.41414141414141414
-14,0.37373737373737376,0.30303030303030304,0.37373737373737376
-13,0.42424242424242425,0.30303030303030304,0.42424242424242425
-12,0.4444444444444444,0.3939393939393939,0.3333333333333333
-11,0.29292929292929293,0.35353535353535354,0.31313131313131315
-10.0,0.42424242424242425,0.2222222222222222,0.3333333333333333
-9.5,0.29292929292929293,0.25252525252525254,0.37373737373737376
-9.0,0.40404040404040403,0.1717171717171717,0.26262626262626265
-8.5,0.23232323232323232,0.2222222222222222,0.24242424242424243
-8.0,0.2828282828282828,0.2222222222222222,0.2727272727272727
-7.5,0.29292929292929293,0.15151515151515152,0.26262626262626265
-7.0,0.29292929292929293,0.1414141414141414,0.2222222222222222
-6.5,0.3333333333333333,0.23232323232323232,0.24242424242424243
-6.0,0.23232323232323232,0.21212121212121213,0.24242424242424243
-5.5,0.30303030303030304,0.1414141414141414,0.1111111111111111
-5.0,0.1919191919191919,0.12121212121212122,0.1111111111111111
-4.5,0.24242424242424243,0.12121212121212122,0.1919191919191919
-4.0,0.13131313131313133,0.08080808080808081,0.13131313131313133
-3.5,0.1919191919191919,0.10101010101010101,0.09090909090909091
-3.0,0.08080808080808081,0.0707070707070707,0.15151515151515152
-2.7,0.21212121212121213,0.12121212121212122,0.10101010101010101
-2.4,0.1111111111111111,0.050505050505050504,0.06060606060606061
-2.1,0.16161616161616163,0.030303030303030304,0.020202020202020204
-1.8,0.1717171717171717,0.12121212121212122,0.020202020202020204
-1.5,0.06060606060606061,0.08080808080808081,0.09090909090909091
-1.2,0.04040404040404041,0.09090909090909091,0.04040404040404041
-0.9,0.13131313131313133,0.010101010101010102,0.020202020202020204
-0.6,0.1111111111111111,0.050505050505050504,0.06060606060606061
-0.3,0.1414141414141414,0.050505050505050504,0.1111111111111111
0.0,0.04040404040404041,0.06060606060606061,0.030303030303030304
0.3,0.08080808080808081,0.050505050505050504,0.06060606060606061
0.6,0.06060606060606061,0.0,0.050505050505050504
0.9,0.10101010101010101,0.050505050505050504,0.0
1.2,0.04040404040404041,0.010101010101010102,0.0
1.5,0.10101010101010101,0.09090909090909091,0.050505050505050504
1.8,0.030303030303030304,0.0,0.06060606060606061
2.1,0.06060606060606061,0.09090909090909091,0.0
2.4,0.020202020202020204,0.0,0.030303030303030304
2.7,0.030303030303030304,0.0,0.0
3.0,0.010101010101010102,0.0,0.0
3.3,0.010101010101010102,0.0,0.0
3.6,0.0,0.0,0.0
3.9,0.020202020202020204,0.0,0.010101010101010102
4.5,0.0,0.0,0.0
5.5,0.0,0.0,0.0
6.5,0.0,0.0,0.0
7.5,0.0,0.0,0.0
8.5,0.0,0.0,0.0
9.5,0.0,0.0,0.0
