SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.27,0.19,0.37,0.3
-18,0.29,0.27,0.29,0.39
-16,0.16,0.12,0.3,0.3
-14,0.15,0.1,0.32,0.27
-12,0.02,0.06,0.3,0.31
-10,0.01,0.07,0.32,0.34
-9,0.01,0.03,0.29,0.32
-8,0.0,0.02,0.33,0.34
-7,0.0,0.0,0.38,0.49
-6,0.0,0.02,0.33,0.34
-5,0.0,0.0,0.39,0.32
-4,0.0,0.0,0.29,0.35
-3.0,0.0,0.0,0.33,0.45
-2.8,0.0,0.0,0.38,0.37
-2.6,0.0,0.0,0.31,0.39
-2.4,0.0,0.0,0.38,0.38
-2.2,0.0,0.0,0.35,0.42
-2.0,0.0,0.0,0.35,0.46
-1.8,0.0,0.0,0.39,0.43
-1.6,0.0,0.0,0.38,0.33
-1.4,0.0,0.0,0.4,0.44
-1.2,0.0,0.0,0.39,0.33
-1.0,0.0,0.0,0.38,0.53
-0.8,0.0,0.0,0.33,0.38
-0.6,0.0,0.0,0.38,0.51
-0.4,0.0,0.0,0.25,0.4
-0.2,0.0,0.0,0.37,0.3
0.0,0.0,0.0,0.29,0.35
0.2,0.0,0.0,0.38,0.43
0.4,0.0,0.0,0.39,0.38
0.6,0.0,0.0,0.36,0.44
0.8,0.0,0.0,0.4,0.42
1.0,0.0,0.0,0.31,0.34
1.2,0.0,0.0,0.29,0.47
1.4,0.0,0.0,0.37,0.44
1.6,0.0,0.0,0.33,0.46
1.8,0.0,0.0,0.39,0.41
2.0,0.0,0.0,0.33,0.51
2.2,0.0,0.0,0.36,0.54
2.4,0.0,0.0,0.37,0.4
2.6,0.0,0.0,0.39,0.49
2.8,0.0,0.0,0.4,0.42
3.0,0.0,0.0,0.44,0.4
3.2,0.0,0.0,0.38,0.41
3.4,0.0,0.0,0.36,0.44
3.6,0.0,0.0,0.33,0.43
3.8,0.0,0.0,0.38,0.58
4.0,0.0,0.0,0.41,0.53
4.2,0.0,0.0,0.37,0.49
4.4,0.0,0.0,0.39,0.48
4.6,0.0,0.0,0.34,0.43
4.8,0.0,0.0,0.37,0.54
5.0,0.0,0.0,0.43,0.48
5.5,0.0,0.0,0.36,0.54
6.0,0.0,0.0,0.39,0.49
6.5,0.0,0.0,0.39,0.49
7.0,0.0,0.0,0.37,0.48
7.5,0.0,0.0,0.39,0.51
8.0,0.0,0.0,0.41,0.43
8.5,0.0,0.0,0.35,0.53
9.0,0.0,0.0,0.38,0.47
9.5,0.0,0.0,0.29,0.44
10.0,0.0,0.0,0.35,0.56
