SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.3856,0.3858,0.4172,0.4141
-18,0.3388,0.3532,0.3903,0.4008
-16,0.3096,0.3214,0.3713,0.3603
-14,0.2591,0.2719,0.3442,0.3343
-12,0.2198,0.2319,0.3113,0.303
-10,0.1526,0.1751,0.2728,0.2786
-9,0.1366,0.1369,0.2762,0.2578
-8,0.1034,0.1205,0.2663,0.2497
-7,0.0774,0.0952,0.2593,0.2466
-6,0.0631,0.0697,0.2538,0.222
-5,0.0358,0.0555,0.2534,0.2156
-4,0.0234,0.036,0.2523,0.2069
-3.0,0.0124,0.0233,0.2549,0.1919
-2.8,0.0095,0.0204,0.2517,0.1987
-2.6,0.0114,0.0149,0.2448,0.1988
-2.4,0.0095,0.0183,0.2535,0.2014
-2.2,0.0053,0.0148,0.2469,0.1961
-2.0,0.0062,0.0125,0.2533,0.194
-1.8,0.0058,0.0117,0.254,0.2022
-1.6,0.004,0.0119,0.2451,0.1855
-1.4,0.003,0.0064,0.2494,0.1851
-1.2,0.0028,0.0079,0.2454,0.1911
-1.0,0.003,0.0078,0.2519,0.1849
-0.8,0.0016,0.0064,0.2485,0.1884
-0.6,0.0034,0.0056,0.2511,0.1913
-0.4,0.0018,0.0035,0.2553,0.1841
-0.2,0.0015,0.0036,0.2508,0.1827
0.0,2.0E-4,0.0038,0.253,0.1832
0.2,9.0E-4,0.003,0.2534,0.184
0.4,3.0E-4,0.0023,0.2502,0.1847
0.6,0.0,0.0037,0.2456,0.1888
0.8,5.0E-4,0.0018,0.2564,0.1833
1.0,0.0,0.0017,0.2505,0.1827
1.2,1.0E-4,8.0E-4,0.2412,0.1801
1.4,2.0E-4,0.0011,0.2527,0.182
1.6,2.0E-4,5.0E-4,0.2505,0.1779
1.8,0.0,0.0012,0.2461,0.1744
2.0,0.0,7.0E-4,0.2422,0.1727
2.2,0.0,2.0E-4,0.2441,0.175
2.4,0.0,3.0E-4,0.2401,0.1752
2.6,0.0,0.0,0.2504,0.1651
2.8,0.0,3.0E-4,0.2461,0.175
3.0,0.0,2.0E-4,0.2531,0.1755
3.2,0.0,0.0,0.252,0.1725
3.4,0.0,0.0,0.2546,0.1695
3.6,0.0,0.0,0.2568,0.1718
3.8,0.0,1.0E-4,0.2499,0.1802
4.0,0.0,0.0,0.2549,0.1703
4.2,0.0,0.0,0.2508,0.1717
4.4,0.0,2.0E-4,0.2517,0.169
4.6,0.0,0.0,0.2505,0.167
4.8,0.0,0.0,0.2467,0.17
5.0,0.0,0.0,0.2513,0.1724
5.5,0.0,0.0,0.2547,0.1711
6.0,0.0,0.0,0.2458,0.179
6.5,0.0,0.0,0.2523,0.1736
7.0,0.0,0.0,0.2523,0.1771
7.5,0.0,0.0,0.253,0.1737
8.0,0.0,0.0,0.2458,0.1804
8.5,0.0,0.0,0.2489,0.1824
9.0,0.0,0.0,0.2462,0.1888
9.5,0.0,0.0,0.2495,0.1915
10.0,0.0,0.0,0.2544,0.1874
