SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.379,0.4068,0.4148,0.3988
-18,0.3477,0.3939,0.3973,0.3757
-16,0.3045,0.3735,0.3701,0.3475
-14,0.2772,0.3475,0.3463,0.3137
-12,0.2203,0.3052,0.3175,0.2873
-10,0.1555,0.2715,0.2857,0.2354
-9,0.1234,0.2584,0.2813,0.2219
-8,0.1084,0.2443,0.271,0.2029
-7,0.0765,0.2305,0.2629,0.1905
-6,0.0572,0.22,0.2561,0.1699
-5,0.0367,0.2049,0.2551,0.1531
-4,0.0234,0.2021,0.2413,0.1471
-3.0,0.0097,0.1948,0.253,0.1229
-2.8,0.0106,0.1915,0.2496,0.1195
-2.6,0.011,0.1877,0.2409,0.1214
-2.4,0.0082,0.1853,0.2551,0.12
-2.2,0.0085,0.1838,0.249,0.1137
-2.0,0.006,0.1835,0.2475,0.1179
-1.8,0.0052,0.1839,0.2514,0.1132
-1.6,0.0038,0.1861,0.2485,0.1124
-1.4,0.0033,0.179,0.2526,0.1087
-1.2,0.0029,0.179,0.2417,0.1042
-1.0,0.0018,0.1799,0.25,0.103
-0.8,0.0012,0.171,0.2488,0.0976
-0.6,0.0017,0.1747,0.2453,0.1052
-0.4,5.0E-4,0.1725,0.2502,0.1004
-0.2,3.0E-4,0.1743,0.2505,0.0962
0.0,2.0E-4,0.173,0.2534,0.101
0.2,4.0E-4,0.1738,0.2528,0.0969
0.4,0.0,0.1678,0.2511,0.1007
0.6,5.0E-4,0.1705,0.249,0.0904
0.8,1.0E-4,0.1677,0.2488,0.0874
1.0,2.0E-4,0.1644,0.2512,0.09
1.2,4.0E-4,0.1641,0.2534,0.0898
1.4,3.0E-4,0.1589,0.2591,0.0927
1.6,3.0E-4,0.1604,0.2468,0.0874
1.8,0.0,0.1606,0.2567,0.0891
2.0,0.0,0.1619,0.2483,0.0886
2.2,0.0,0.153,0.2558,0.0874
2.4,0.0,0.1542,0.2498,0.0886
2.6,0.0,0.1533,0.2555,0.0875
2.8,0.0,0.1528,0.2479,0.0862
3.0,0.0,0.1518,0.2432,0.082
3.2,0.0,0.1427,0.2513,0.0878
3.4,0.0,0.1506,0.2498,0.0829
3.6,0.0,0.1466,0.2534,0.0843
3.8,0.0,0.1507,0.2489,0.0843
4.0,0.0,0.1457,0.244,0.0806
4.2,0.0,0.1457,0.2458,0.0863
4.4,0.0,0.1415,0.2489,0.0846
4.6,0.0,0.1407,0.2502,0.0881
4.8,0.0,0.144,0.2543,0.0878
5.0,0.0,0.1411,0.2525,0.0873
5.5,0.0,0.1307,0.2471,0.084
6.0,0.0,0.1336,0.2415,0.0916
6.5,0.0,0.1356,0.2398,0.091
7.0,0.0,0.128,0.2497,0.0894
7.5,0.0,0.1318,0.255,0.0932
8.0,0.0,0.13,0.2485,0.0877
8.5,0.0,0.1255,0.2514,0.0935
9.0,0.0,0.1294,0.2551,0.0918
9.5,0.0,0.1244,0.2508,0.0965
10.0,0.0,0.1204,0.2509,0.097
