SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.412084,0.412018,0.411057,0.411158
-18,0.389398,0.388843,0.389394,0.388323
-16,0.361845,0.361642,0.362508,0.362258
-14,0.328437,0.327167,0.327725,0.327037
-12,0.286945,0.288625,0.28735,0.286912
-10,0.239914,0.240559,0.240738,0.240045
-9,0.213305,0.212586,0.213744,0.213924
-8,0.186234,0.186237,0.187099,0.186528
-7,0.158819,0.158989,0.158839,0.159235
-6,0.130854,0.131544,0.131165,0.131328
-5,0.104366,0.104061,0.103861,0.104384
-4,0.079728,0.079039,0.07942,0.080088
-3.0,0.05654,0.056232,0.056729,0.056758
-2.8,0.052416,0.052142,0.052495,0.05313
-2.6,0.048473,0.049049,0.048515,0.04929
-2.4,0.044603,0.045163,0.044852,0.044651
-2.2,0.041009,0.041945,0.041164,0.041258
-2.0,0.037797,0.037207,0.038179,0.037533
-1.8,0.034821,0.034678,0.034448,0.034381
-1.6,0.031434,0.031145,0.031294,0.031355
-1.4,0.028202,0.028924,0.028688,0.02835
-1.2,0.025724,0.025739,0.025459,0.025914
-1.0,0.023003,0.022718,0.022963,0.023091
-0.8,0.021122,0.020662,0.021107,0.020337
-0.6,0.018838,0.018565,0.018526,0.018708
-0.4,0.016374,0.016269,0.016215,0.016781
-0.2,0.014005,0.014467,0.014469,0.014347
0.0,0.012665,0.012528,0.012481,0.012699
0.2,0.010925,0.01091,0.011084,0.011076
0.4,0.009423,0.009602,0.009509,0.009488
0.6,0.008256,0.008508,0.00814,0.008549
0.8,0.007193,0.007123,0.007223,0.007052
1.0,0.006318,0.006071,0.005967,0.006075
1.2,0.005212,0.005152,0.005212,0.005034
1.4,0.004129,0.004397,0.004269,0.004133
1.6,0.003445,0.003576,0.003622,0.003588
1.8,0.00299,0.002816,0.002966,0.003086
2.0,0.002559,0.002465,0.002523,0.002376
2.2,0.002039,0.002003,0.001982,0.002148
2.4,0.001653,0.001617,0.001592,0.001561
2.6,0.001198,0.001236,0.001314,0.001263
2.8,0.001004,9.69E-4,9.97E-4,0.001052
3.0,7.2E-4,7.64E-4,8.45E-4,7.97E-4
3.2,6.55E-4,6.46E-4,6.31E-4,6.26E-4
3.4,4.33E-4,4.86E-4,4.33E-4,4.96E-4
3.6,3.53E-4,3.12E-4,3.76E-4,3.75E-4
3.8,2.57E-4,2.72E-4,2.36E-4,2.75E-4
4.0,2.32E-4,1.64E-4,2.21E-4,1.75E-4
4.2,1.23E-4,1.54E-4,1.43E-4,1.34E-4
4.4,9.7E-5,1.16E-4,9.9E-5,1.16E-4
4.6,9.5E-5,5.8E-5,8.5E-5,7.0E-5
4.8,4.5E-5,4.6E-5,4.9E-5,5.1E-5
5.0,2.8E-5,6.3E-5,4.4E-5,4.7E-5
5.5,1.7E-5,1.4E-5,1.3E-5,1.3E-5
6.0,3.0E-6,6.0E-6,1.0E-5,7.0E-6
6.5,2.0E-6,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,3.0E-6
8.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
