SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.36,0.37,0.47,0.35
-19,0.42,0.37,0.44,0.41
-18,0.45,0.47,0.43,0.4
-17,0.39,0.41,0.53,0.51
-16,0.47,0.49,0.37,0.35
-15,0.49,0.34,0.36,0.36
-14,0.44,0.36,0.37,0.38
-13,0.44,0.41,0.29,0.38
-12,0.38,0.27,0.37,0.41
-11,0.35,0.38,0.37,0.33
-10.0,0.23,0.33,0.33,0.36
-9.5,0.39,0.36,0.38,0.29
-9.0,0.31,0.36,0.4,0.38
-8.5,0.3,0.27,0.25,0.33
-8.0,0.3,0.24,0.24,0.33
-7.5,0.22,0.23,0.32,0.33
-7.0,0.25,0.25,0.26,0.31
-6.5,0.28,0.28,0.27,0.23
-6.0,0.25,0.24,0.33,0.38
-5.5,0.08,0.2,0.19,0.19
-5.0,0.19,0.19,0.38,0.19
-4.5,0.21,0.23,0.19,0.19
-4.0,0.23,0.13,0.17,0.15
-3.5,0.16,0.18,0.17,0.18
-3.0,0.15,0.18,0.18,0.17
-2.9,0.1,0.09,0.18,0.14
-2.8,0.19,0.18,0.12,0.11
-2.7,0.07,0.21,0.12,0.13
-2.6,0.19,0.14,0.13,0.19
-2.5,0.14,0.21,0.18,0.11
-2.4,0.18,0.09,0.16,0.1
-2.3,0.1,0.16,0.09,0.02
-2.2,0.1,0.14,0.21,0.09
-2.1,0.08,0.05,0.1,0.24
-2.0,0.07,0.18,0.1,0.12
-1.9,0.25,0.11,0.16,0.08
-1.8,0.08,0.13,0.05,0.14
-1.7,0.14,0.15,0.03,0.13
-1.6,0.14,0.12,0.1,0.18
-1.5,0.12,0.2,0.04,0.07
-1.4,0.06,0.04,0.02,0.14
-1.3,0.05,0.1,0.15,0.25
-1.2,0.11,0.18,0.06,0.16
-1.1,0.14,0.16,0.12,0.2
-1.0,0.1,0.1,0.19,0.12
-0.9,0.22,0.17,0.05,0.14
-0.8,0.13,0.12,0.12,0.11
-0.7,0.05,0.13,0.06,0.12
-0.6,0.01,0.06,0.06,0.13
-0.5,0.13,0.04,0.22,0.19
-0.4,0.2,0.02,0.07,0.07
-0.3,0.08,0.1,0.02,0.07
-0.2,0.06,0.14,0.14,0.05
-0.1,0.06,0.09,0.11,0.1
0.0,0.04,0.09,0.15,0.05
0.1,0.15,0.12,0.11,0.1
0.2,0.17,0.06,0.08,0.04
0.3,0.06,0.05,0.06,0.14
0.4,0.03,0.13,0.1,0.05
0.5,0.13,0.05,0.03,0.03
0.6,0.03,0.1,0.04,0.09
0.7,0.03,0.08,0.0,0.04
0.8,0.09,0.02,0.06,0.12
0.9,0.07,0.12,0.02,0.12
1.0,0.0,0.05,0.06,0.03
1.1,0.02,0.09,0.05,0.02
1.2,0.07,0.0,0.06,0.07
1.3,0.04,0.06,0.07,0.1
1.4,0.01,0.03,0.01,0.0
1.5,0.05,0.07,0.05,0.07
1.6,0.05,0.07,0.07,0.05
1.7,0.0,0.03,0.06,0.09
1.8,0.05,0.06,0.01,0.07
1.9,0.05,0.15,0.05,0.08
2.0,0.08,0.0,0.06,0.0
2.1,0.05,0.0,0.03,0.07
2.2,0.07,0.02,0.0,0.09
2.3,0.01,0.07,0.02,0.03
2.4,0.03,0.07,0.05,0.08
2.5,0.04,0.0,0.01,0.03
2.6,0.04,0.0,0.01,0.02
2.7,0.05,0.0,0.06,0.03
2.8,0.01,0.0,0.0,0.0
2.9,0.05,0.04,0.01,0.01
3.0,0.0,0.0,0.02,0.0
3.1,0.03,0.0,0.0,0.02
3.2,0.04,0.0,0.06,0.0
3.3,0.0,0.04,0.03,0.0
3.4,0.04,0.0,0.0,0.04
3.5,0.04,0.0,0.12,0.05
3.6,0.0,0.08,0.0,0.0
3.7,0.02,0.07,0.0,0.0
3.8,0.0,0.0,0.04,0.03
3.9,0.0,0.03,0.0,0.0
4.0,0.01,0.02,0.0,0.0
4.1,0.06,0.03,0.0,0.0
4.2,0.03,0.03,0.04,0.0
4.3,0.0,0.0,0.01,0.0
4.4,0.0,0.04,0.0,0.01
4.5,0.0,0.0,0.03,0.03
4.6,0.0,0.0,0.0,0.0
4.7,0.0,0.01,0.0,0.02
4.8,0.0,0.0,0.0,0.0
4.9,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.03,0.0
6.0,0.02,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
