DT,TEB_RZ,TEB_NRZ,TEB_NRZT
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.2517,0.0,0.0
4,0.2483,0.0,0.0
5,0.248,0.2512,0.2443
6,0.246,0.1284,0.1223
7,0.1261,0.1227,0.1249
8,0.2447,0.1272,0.1263
9,0.2529,0.1249,0.1223
10,0.25,0.2544,0.247
11,0.251,0.123,0.1227
12,0.1227,0.1306,0.1278
13,0.2537,0.124,0.128
14,0.2467,0.1254,0.1252
15,0.2495,0.2492,0.2458
16,0.2498,0.1227,0.1227
17,0.1223,0.126,0.127
18,0.252,0.1235,0.1294
19,0.2452,0.1254,0.1227
20,0.2529,0.2501,0.2526
21,0.2474,0.1235,0.1234
22,0.121,0.1246,0.125
23,0.2479,0.1243,0.123
24,0.2508,0.1224,0.1186
25,0.2464,0.2486,0.2514
26,0.2449,0.1197,0.122
27,0.1257,0.1275,0.1271
28,0.2481,0.1227,0.1259
29,0.2551,0.1213,0.1266
30,0.2524,0.2523,0.2464
31,0.2504,0.1265,0.1224
32,0.1261,0.1228,0.1222
33,0.2513,0.124,0.1273
34,0.2509,0.1268,0.1282
35,0.2478,0.2505,0.2516
36,0.2497,0.1251,0.1273
37,0.1267,0.1254,0.1237
38,0.2498,0.1263,0.1274
39,0.2538,0.1243,0.1212
40,0.2542,0.2547,0.2559
41,0.2522,0.1236,0.1273
42,0.1234,0.1265,0.1257
43,0.2509,0.1245,0.1246
44,0.2456,0.129,0.1307
45,0.2522,0.2489,0.2479
46,0.2485,0.1269,0.1238
47,0.1242,0.1244,0.1255
48,0.2492,0.1259,0.1275
49,0.2468,0.131,0.1219
50,0.2554,0.2463,0.2546
51,0.2524,0.1225,0.1249
52,0.1232,0.1253,0.1265
53,0.2509,0.1208,0.1214
54,0.2523,0.1258,0.125
55,0.2537,0.25,0.2505
56,0.2497,0.1231,0.1252
57,0.1204,0.1228,0.1228
58,0.2534,0.1243,0.125
59,0.2495,0.1258,0.1275
60,0.2468,0.2488,0.2475
61,0.2522,0.1252,0.1264
62,0.1287,0.127,0.1248
63,0.2525,0.1254,0.1213
64,0.2525,0.1287,0.1254
65,0.2476,0.2513,0.2509
66,0.2517,0.1294,0.1226
67,0.1222,0.1274,0.1291
68,0.2487,0.1215,0.1264
69,0.2497,0.1316,0.1251
70,0.2466,0.2463,0.2488
71,0.2465,0.1257,0.1281
72,0.1271,0.13,0.1256
73,0.2508,0.1235,0.1258
74,0.2443,0.1233,0.1313
75,0.2496,0.2493,0.2505
76,0.2492,0.1266,0.1226
77,0.1207,0.1232,0.1267
78,0.2534,0.124,0.1274
79,0.2548,0.1297,0.1287
80,0.2534,0.2474,0.2493
81,0.25,0.1269,0.1259
82,0.1278,0.1246,0.1259
83,0.2479,0.1229,0.125
84,0.2498,0.1261,0.1267
85,0.2489,0.2468,0.2504
86,0.2533,0.1233,0.1234
87,0.1256,0.1276,0.1283
88,0.255,0.123,0.1266
89,0.2549,0.1213,0.1245
90,0.2488,0.2467,0.2508
91,0.2499,0.1248,0.1235
92,0.1211,0.1253,0.1235
93,0.2553,0.1225,0.1264
94,0.2463,0.1226,0.1277
95,0.2477,0.2516,0.2466
96,0.2483,0.1208,0.1282
97,0.1245,0.119,0.1233
98,0.2474,0.1235,0.1247
99,0.2513,0.1252,0.1275
100,0.2493,0.2458,0.2444
