SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-20,0.415143,0.396915,0.396886
-19,0.405324,0.385273,0.38535
-18,0.395526,0.371139,0.371081
-17,0.382056,0.355314,0.355119
-16,0.36891,0.339946,0.339962
-15,0.353839,0.322125,0.323312
-14,0.334092,0.301717,0.302773
-13,0.31736,0.278263,0.279325
-12,0.297183,0.256411,0.25631
-11,0.27389,0.231541,0.232416
-10.0,0.251606,0.20665,0.205316
-9.5,0.238305,0.193034,0.19287
-9.0,0.225464,0.178,0.178511
-8.5,0.214409,0.165759,0.163665
-8.0,0.199729,0.150684,0.15176
-7.5,0.18506,0.135368,0.138781
-7.0,0.173193,0.124269,0.124036
-6.5,0.157696,0.11172,0.109416
-6.0,0.144803,0.096228,0.097181
-5.5,0.130608,0.084251,0.084531
-5.0,0.11807,0.072457,0.072879
-4.5,0.104075,0.061775,0.061837
-4.0,0.090865,0.051416,0.051228
-3.5,0.078728,0.04261,0.04219
-3.0,0.06737,0.033496,0.034106
-2.9,0.064929,0.031867,0.031752
-2.8,0.062745,0.030848,0.030354
-2.7,0.060283,0.029387,0.029115
-2.6,0.058591,0.027582,0.027546
-2.5,0.056535,0.026687,0.026045
-2.4,0.05585,0.025112,0.025205
-2.3,0.05291,0.024313,0.023645
-2.2,0.050192,0.022838,0.022377
-2.1,0.04838,0.021591,0.021544
-2.0,0.045935,0.020155,0.020264
-1.9,0.044715,0.018706,0.01901
-1.8,0.042871,0.017777,0.017761
-1.7,0.041168,0.017084,0.016393
-1.6,0.039476,0.016623,0.015457
-1.5,0.038073,0.015006,0.014854
-1.4,0.036907,0.013881,0.013825
-1.3,0.034699,0.013358,0.012847
-1.2,0.032862,0.012067,0.012295
-1.1,0.031329,0.011892,0.011951
-1.0,0.029757,0.011072,0.010817
-0.9,0.028633,0.009893,0.009753
-0.8,0.026722,0.009381,0.009809
-0.7,0.025824,0.008747,0.008904
-0.6,0.024464,0.008262,0.007742
-0.5,0.022872,0.007524,0.00748
-0.4,0.022169,0.006984,0.006784
-0.3,0.020759,0.006188,0.006441
-0.2,0.019527,0.005702,0.005789
-0.1,0.018509,0.005376,0.005556
0.0,0.017082,0.004825,0.004921
0.1,0.016196,0.004498,0.004869
0.2,0.015101,0.003989,0.004359
0.3,0.01428,0.003839,0.004132
0.4,0.013729,0.003548,0.003538
0.5,0.01246,0.003102,0.00304
0.6,0.011887,0.003074,0.002684
0.7,0.011328,0.002768,0.002622
0.8,0.010353,0.002337,0.002463
0.9,0.010067,0.002161,0.002257
1.0,0.008894,0.001937,0.001945
1.1,0.008519,0.001736,0.00176
1.2,0.008087,0.001565,0.001732
1.3,0.007388,0.001483,0.001433
1.4,0.006794,0.001242,0.001355
1.5,0.005983,0.00124,0.001215
1.6,0.005967,0.001053,0.001039
1.7,0.005414,9.99E-4,9.33E-4
1.8,0.004867,8.75E-4,8.83E-4
1.9,0.004396,7.82E-4,6.33E-4
2.0,0.004086,6.22E-4,6.22E-4
2.1,0.003736,5.21E-4,4.64E-4
2.2,0.003506,5.0E-4,5.09E-4
2.3,0.003211,3.97E-4,3.86E-4
2.4,0.00283,3.59E-4,3.18E-4
2.5,0.002574,3.16E-4,3.99E-4
2.6,0.002185,2.62E-4,2.58E-4
2.7,0.002006,3.05E-4,3.02E-4
2.8,0.001979,1.71E-4,2.31E-4
2.9,0.001774,2.02E-4,2.02E-4
3.0,0.001675,8.9E-5,1.34E-4
3.1,0.001337,1.18E-4,1.52E-4
3.2,0.001153,9.6E-5,1.47E-4
3.3,0.001198,7.1E-5,9.5E-5
3.4,0.001075,6.9E-5,8.2E-5
3.5,8.79E-4,5.8E-5,7.3E-5
3.6,7.86E-4,4.5E-5,5.8E-5
3.7,6.79E-4,3.3E-5,6.5E-5
3.8,6.09E-4,3.3E-5,2.1E-5
3.9,4.64E-4,1.7E-5,7.0E-5
4.0,4.94E-4,4.2E-5,4.0E-5
4.1,4.05E-4,2.7E-5,1.9E-5
4.2,3.67E-4,1.0E-5,2.3E-5
4.3,2.98E-4,1.8E-5,2.8E-5
4.4,2.69E-4,2.2E-5,0.0
4.5,2.13E-4,1.0E-5,0.0
4.6,2.09E-4,4.0E-6,2.0E-6
4.7,2.07E-4,1.2E-5,7.0E-6
4.8,1.47E-4,7.0E-6,0.0
4.9,1.53E-4,3.0E-6,0.0
5.0,1.37E-4,4.0E-6,5.0E-6
5.5,3.3E-5,0.0,0.0
6.0,2.9E-5,0.0,0.0
6.5,1.5E-5,0.0,0.0
7.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0
8.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0
9.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0
10.0,0.0,0.0,0.0
