DT,TEB_RZ,TEB_NRZ,TEB_NRZT
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.29,0.0,0.0
20,0.25,0.0,0.0
21,0.24,0.0,0.26
22,0.25,0.0,0.48
23,0.19,0.0,0.51
24,0.23,0.0,0.46
25,0.25,0.0,0.55
26,0.26,0.0,0.53
27,0.27,0.0,0.45
28,0.23,0.0,0.45
29,0.23,0.0,0.46
30,0.23,0.24,0.34
31,0.23,0.14,0.28
32,0.22,0.1,0.27
33,0.2,0.14,0.25
34,0.25,0.13,0.25
35,0.21,0.11,0.26
36,0.23,0.16,0.2
37,0.24,0.16,0.21
38,0.28,0.12,0.23
39,0.22,0.14,0.27
40,0.09,0.11,0.27
41,0.13,0.1,0.27
42,0.16,0.12,0.23
43,0.1,0.12,0.27
44,0.08,0.12,0.23
45,0.12,0.18,0.27
46,0.14,0.12,0.28
47,0.12,0.16,0.22
48,0.14,0.1,0.25
49,0.24,0.1,0.26
50,0.25,0.1,0.25
51,0.22,0.14,0.25
52,0.28,0.1,0.22
53,0.26,0.14,0.26
54,0.21,0.09,0.26
55,0.24,0.08,0.21
56,0.24,0.1,0.29
57,0.24,0.14,0.21
58,0.24,0.1,0.28
59,0.19,0.13,0.22
60,0.27,0.22,0.25
61,0.28,0.18,0.17
62,0.2,0.1,0.21
63,0.24,0.13,0.18
64,0.21,0.12,0.19
65,0.22,0.09,0.17
66,0.22,0.14,0.24
67,0.27,0.12,0.16
68,0.28,0.1,0.15
69,0.29,0.12,0.2
70,0.11,0.14,0.13
71,0.03,0.05,0.17
72,0.16,0.14,0.2
73,0.16,0.12,0.21
74,0.13,0.13,0.19
75,0.08,0.14,0.15
76,0.11,0.12,0.19
77,0.11,0.11,0.17
78,0.12,0.11,0.21
79,0.27,0.12,0.27
80,0.23,0.13,0.14
81,0.23,0.11,0.25
82,0.22,0.08,0.29
83,0.23,0.15,0.24
84,0.22,0.1,0.28
85,0.27,0.19,0.27
86,0.23,0.07,0.32
87,0.21,0.13,0.37
88,0.27,0.12,0.26
89,0.23,0.14,0.26
90,0.25,0.26,0.29
91,0.26,0.1,0.25
92,0.22,0.13,0.25
93,0.22,0.11,0.17
94,0.21,0.09,0.18
95,0.23,0.12,0.13
96,0.26,0.17,0.16
97,0.2,0.17,0.17
98,0.26,0.09,0.19
99,0.25,0.14,0.2
100,0.15,0.12,0.19
101,0.11,0.16,0.18
102,0.09,0.18,0.13
103,0.06,0.1,0.16
104,0.15,0.12,0.21
105,0.1,0.15,0.17
106,0.12,0.1,0.17
107,0.07,0.15,0.22
108,0.1,0.15,0.17
109,0.21,0.11,0.24
110,0.21,0.11,0.13
111,0.25,0.17,0.23
112,0.27,0.14,0.27
113,0.2,0.13,0.29
114,0.22,0.1,0.24
115,0.22,0.15,0.27
116,0.21,0.14,0.31
117,0.23,0.11,0.27
118,0.27,0.09,0.24
119,0.27,0.07,0.26
120,0.26,0.24,0.25
