DT,TEB_RZ,TEB_NRZ,TEB_NRZT
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.250051,0.0,0.0
20,0.249913,0.0,0.0
21,0.249841,0.0,0.249725
22,0.250211,0.0,0.500179
23,0.250214,0.0,0.500359
24,0.249734,0.0,0.500656
25,0.250301,0.0,0.500037
26,0.250012,0.0,0.500209
27,0.25001,0.0,0.500126
28,0.250063,0.0,0.500491
29,0.249967,0.0,0.499752
30,0.249789,0.250027,0.375247
31,0.250495,0.124875,0.249387
32,0.249951,0.12471,0.250245
33,0.249884,0.125224,0.249564
34,0.249995,0.124679,0.250338
35,0.249839,0.125006,0.249681
36,0.249876,0.125144,0.249639
37,0.249892,0.124689,0.250186
38,0.250241,0.12495,0.250245
39,0.249579,0.125119,0.249904
40,0.125044,0.12478,0.250442
41,0.124943,0.12504,0.249594
42,0.124876,0.125232,0.249569
43,0.125067,0.125016,0.249611
44,0.125196,0.124586,0.250092
45,0.125053,0.124961,0.250013
46,0.124956,0.124929,0.249979
47,0.124743,0.124764,0.249787
48,0.125181,0.124745,0.249967
49,0.250214,0.124967,0.249722
50,0.250123,0.124679,0.250266
51,0.250293,0.12499,0.250384
52,0.249686,0.12525,0.249657
53,0.249995,0.124792,0.250185
54,0.250326,0.12481,0.249655
55,0.250569,0.124744,0.249808
56,0.250089,0.125234,0.250139
57,0.250037,0.12479,0.250406
58,0.249611,0.124589,0.249775
59,0.249794,0.125025,0.25012
60,0.25029,0.250151,0.249753
61,0.249784,0.125357,0.187875
62,0.250094,0.125037,0.187346
63,0.249926,0.124908,0.187389
64,0.250156,0.125049,0.187037
65,0.250265,0.125123,0.187193
66,0.24973,0.124981,0.187405
67,0.250149,0.125305,0.18712
68,0.250484,0.124844,0.187852
69,0.250016,0.125032,0.187565
70,0.124892,0.125318,0.187929
71,0.124987,0.125005,0.187913
72,0.124962,0.125174,0.187253
73,0.125007,0.125592,0.187625
74,0.125243,0.124614,0.186876
75,0.124911,0.124236,0.187995
76,0.125231,0.124606,0.187701
77,0.125153,0.125321,0.18765
78,0.125238,0.124337,0.187291
79,0.249815,0.125292,0.187493
80,0.24966,0.124742,0.187355
81,0.249682,0.124563,0.250428
82,0.250305,0.124779,0.281337
83,0.249548,0.124485,0.281023
84,0.249878,0.124911,0.281351
85,0.250064,0.12542,0.28187
86,0.250205,0.125037,0.28141
87,0.24986,0.124816,0.281723
88,0.250036,0.125112,0.28084
89,0.250425,0.125398,0.281019
90,0.250326,0.249782,0.249306
91,0.249933,0.124788,0.187667
92,0.250081,0.125209,0.187866
93,0.249932,0.125093,0.187498
94,0.250025,0.12474,0.188054
95,0.250414,0.125093,0.186993
96,0.249697,0.124917,0.187323
97,0.24979,0.125398,0.18806
98,0.249758,0.124615,0.186866
99,0.249932,0.12479,0.187363
100,0.125012,0.12501,0.187624
101,0.125464,0.125177,0.187292
102,0.124868,0.125098,0.187226
103,0.124973,0.125283,0.187189
104,0.125088,0.125054,0.187627
105,0.124484,0.124569,0.187381
106,0.125214,0.125012,0.187935
107,0.125176,0.124529,0.187694
108,0.124784,0.125335,0.187443
109,0.250144,0.125203,0.187732
110,0.249864,0.124594,0.187243
111,0.249937,0.12523,0.249996
112,0.250193,0.125117,0.281952
113,0.249926,0.125018,0.28079
114,0.250089,0.124995,0.281249
115,0.250036,0.125125,0.280823
116,0.249476,0.12472,0.280863
117,0.249856,0.125026,0.282001
118,0.250142,0.12564,0.282357
119,0.249847,0.12467,0.281483
120,0.250252,0.250091,0.250044
