SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.431495,0.450959,0.451443,0.447387
-18,0.413334,0.439771,0.438909,0.433707
-16,0.392123,0.424796,0.424102,0.416169
-14,0.364784,0.405889,0.406231,0.39508
-12,0.332545,0.384373,0.384572,0.370174
-10,0.291585,0.359748,0.359127,0.340899
-9,0.26931,0.346165,0.346013,0.32501
-8,0.245067,0.331598,0.332125,0.307252
-7,0.218684,0.318766,0.319452,0.288806
-6,0.19298,0.30391,0.304823,0.268914
-5,0.164815,0.291603,0.293175,0.249268
-4,0.13745,0.280092,0.280236,0.230307
-3.0,0.109723,0.26995,0.270648,0.210731
-2.8,0.104924,0.268757,0.268555,0.207431
-2.6,0.099873,0.267786,0.266882,0.203311
-2.4,0.094092,0.266137,0.26567,0.199512
-2.2,0.089533,0.263901,0.264592,0.196876
-2.0,0.084955,0.263002,0.263849,0.192754
-1.8,0.07884,0.260586,0.261539,0.18857
-1.6,0.075522,0.260329,0.260458,0.185941
-1.4,0.070262,0.259077,0.259256,0.182452
-1.2,0.065998,0.258533,0.258051,0.178672
-1.0,0.061106,0.257811,0.257037,0.175743
-0.8,0.057006,0.256214,0.256651,0.172094
-0.6,0.053752,0.255181,0.255602,0.169071
-0.4,0.049024,0.254919,0.254606,0.167106
-0.2,0.045002,0.254685,0.254521,0.163486
0.0,0.041149,0.253786,0.253432,0.160396
0.2,0.038405,0.253525,0.253022,0.157388
0.4,0.034971,0.252516,0.252615,0.154514
0.6,0.03139,0.252276,0.252521,0.15167
0.8,0.028591,0.251699,0.252709,0.14914
1.0,0.026132,0.251107,0.252057,0.145853
1.2,0.023552,0.250356,0.251296,0.143844
1.4,0.021012,0.250865,0.25052,0.140206
1.6,0.018822,0.25032,0.251208,0.13834
1.8,0.016367,0.250993,0.251103,0.136709
2.0,0.014412,0.251049,0.251003,0.133867
2.2,0.012789,0.25032,0.250485,0.131872
2.4,0.011227,0.250794,0.250209,0.128987
2.6,0.009743,0.25057,0.250361,0.127526
2.8,0.008325,0.249898,0.25013,0.125347
3.0,0.007177,0.249801,0.250752,0.123337
3.2,0.006202,0.250058,0.250066,0.121903
3.4,0.005258,0.250604,0.249882,0.119711
3.6,0.004405,0.249624,0.250218,0.117641
3.8,0.003616,0.249616,0.249524,0.116244
4.0,0.003091,0.249591,0.250141,0.114188
4.2,0.00255,0.25006,0.249728,0.112573
4.4,0.00209,0.250378,0.249886,0.111574
4.6,0.001678,0.249576,0.249914,0.109314
4.8,0.001382,0.250257,0.249856,0.108469
5.0,9.86E-4,0.249995,0.250642,0.107349
5.5,5.59E-4,0.249605,0.249763,0.104041
6.0,2.95E-4,0.249869,0.24958,0.101534
6.5,1.39E-4,0.249147,0.249832,0.099039
7.0,5.8E-5,0.250331,0.249889,0.097571
7.5,2.3E-5,0.249203,0.250332,0.095311
8.0,7.0E-6,0.250778,0.249949,0.093677
8.5,3.0E-6,0.25001,0.249899,0.093176
9.0,0.0,0.250091,0.250386,0.091497
9.5,0.0,0.2503,0.24975,0.091652
10.0,0.0,0.249381,0.249429,0.090675
