SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.444007,0.459752,0.460893,0.455452
-18,0.429163,0.450606,0.449812,0.445547
-16,0.410693,0.436856,0.438856,0.431344
-14,0.389011,0.421934,0.42289,0.414544
-12,0.360827,0.403914,0.403514,0.394015
-10,0.327072,0.381837,0.382153,0.369389
-9,0.306862,0.369973,0.369237,0.354357
-8,0.286932,0.356968,0.356921,0.340262
-7,0.262697,0.342576,0.343743,0.324372
-6,0.239599,0.327864,0.32882,0.308454
-5,0.213575,0.315517,0.315813,0.290734
-4,0.186152,0.302066,0.30145,0.274566
-3.0,0.157954,0.288836,0.288485,0.25704
-2.8,0.153289,0.287021,0.286343,0.253543
-2.6,0.146466,0.284003,0.284065,0.250074
-2.4,0.141399,0.282236,0.282731,0.24768
-2.2,0.135816,0.280165,0.280196,0.244533
-2.0,0.131583,0.278847,0.278046,0.240902
-1.8,0.126373,0.276839,0.276311,0.238283
-1.6,0.119392,0.273863,0.272828,0.235099
-1.4,0.114052,0.271886,0.272123,0.230822
-1.2,0.109168,0.271034,0.270126,0.229276
-1.0,0.103919,0.269067,0.268791,0.2261
-0.8,0.09788,0.267198,0.266694,0.223678
-0.6,0.093777,0.265698,0.265568,0.220854
-0.4,0.088733,0.264336,0.2637,0.21807
-0.2,0.08327,0.262802,0.262496,0.215576
0.0,0.078648,0.261269,0.260997,0.212044
0.2,0.074101,0.261256,0.259607,0.210212
0.4,0.069057,0.258937,0.259902,0.2079
0.6,0.06491,0.258918,0.257986,0.204764
0.8,0.06008,0.25774,0.256557,0.203411
1.0,0.056434,0.256589,0.255972,0.200586
1.2,0.05257,0.255125,0.255316,0.197964
1.4,0.048202,0.255471,0.254129,0.195786
1.6,0.045273,0.253722,0.254376,0.194607
1.8,0.040847,0.253298,0.253944,0.191657
2.0,0.037929,0.252425,0.252875,0.189858
2.2,0.033865,0.252111,0.252195,0.187628
2.4,0.030608,0.252618,0.251965,0.186725
2.6,0.028289,0.251852,0.251543,0.184229
2.8,0.025483,0.25154,0.250917,0.182115
3.0,0.023111,0.251105,0.250975,0.180818
3.2,0.020185,0.250983,0.250963,0.179697
3.4,0.018078,0.251283,0.251207,0.177872
3.6,0.016437,0.250725,0.250988,0.175669
3.8,0.014089,0.250299,0.250175,0.174316
4.0,0.012606,0.250338,0.249494,0.17263
4.2,0.010648,0.250809,0.250637,0.171312
4.4,0.009581,0.250085,0.250899,0.171095
4.6,0.008154,0.249815,0.250371,0.169485
4.8,0.006987,0.250047,0.250183,0.168342
5.0,0.005717,0.250323,0.250352,0.166668
5.5,0.003741,0.249883,0.249466,0.164497
6.0,0.002357,0.250039,0.250149,0.162985
6.5,0.00141,0.249979,0.250122,0.161448
7.0,8.08E-4,0.24947,0.250542,0.160869
7.5,4.27E-4,0.250803,0.249901,0.159473
8.0,2.18E-4,0.250425,0.250427,0.159138
8.5,8.0E-5,0.249772,0.250522,0.158363
9.0,3.4E-5,0.250361,0.249939,0.159641
9.5,1.1E-5,0.249268,0.249784,0.159979
10.0,8.0E-6,0.250513,0.249615,0.160544
