DT,TEB_RZ,TEB_NRZ,TEB_NRZT
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.29,0.0,0.0
10,0.22,0.0,0.0
11,0.26,0.0,0.22
12,0.25,0.0,0.5
13,0.27,0.0,0.46
14,0.25,0.0,0.6
15,0.26,0.22,0.46
16,0.25,0.13,0.25
17,0.26,0.08,0.22
18,0.22,0.13,0.25
19,0.23,0.15,0.29
20,0.15,0.15,0.21
21,0.1,0.11,0.25
22,0.09,0.1,0.23
23,0.13,0.08,0.24
24,0.27,0.12,0.23
25,0.25,0.12,0.25
26,0.25,0.1,0.27
27,0.23,0.14,0.23
28,0.23,0.13,0.25
29,0.28,0.13,0.23
30,0.28,0.23,0.31
31,0.2,0.06,0.19
32,0.24,0.1,0.22
33,0.23,0.1,0.21
34,0.22,0.07,0.17
35,0.07,0.13,0.2
36,0.11,0.14,0.17
37,0.12,0.14,0.15
38,0.14,0.15,0.18
39,0.27,0.14,0.2
40,0.28,0.13,0.17
41,0.21,0.08,0.22
42,0.21,0.15,0.32
43,0.24,0.14,0.33
44,0.27,0.07,0.15
45,0.25,0.29,0.26
46,0.26,0.13,0.18
47,0.21,0.13,0.13
48,0.27,0.13,0.21
49,0.21,0.09,0.18
50,0.14,0.18,0.24
51,0.11,0.11,0.15
52,0.09,0.11,0.2
53,0.12,0.14,0.15
54,0.25,0.13,0.14
55,0.28,0.12,0.2
56,0.21,0.13,0.27
57,0.28,0.13,0.29
58,0.27,0.08,0.28
59,0.27,0.18,0.27
60,0.21,0.22,0.17
61,0.21,0.12,0.19
62,0.24,0.18,0.19
63,0.24,0.12,0.2
64,0.22,0.11,0.18
65,0.16,0.14,0.12
66,0.15,0.1,0.15
67,0.12,0.09,0.19
68,0.18,0.11,0.14
69,0.22,0.14,0.16
70,0.24,0.14,0.16
71,0.22,0.11,0.22
72,0.23,0.16,0.28
73,0.18,0.13,0.32
74,0.22,0.12,0.38
75,0.23,0.21,0.28
76,0.21,0.11,0.17
77,0.22,0.1,0.19
78,0.22,0.11,0.09
79,0.24,0.17,0.22
80,0.08,0.1,0.14
81,0.12,0.09,0.22
82,0.1,0.11,0.19
83,0.08,0.05,0.15
84,0.22,0.09,0.16
85,0.22,0.13,0.19
86,0.28,0.17,0.23
87,0.24,0.11,0.31
88,0.18,0.17,0.26
89,0.25,0.16,0.3
90,0.22,0.3,0.18
91,0.2,0.1,0.17
92,0.21,0.08,0.18
93,0.25,0.1,0.2
94,0.22,0.11,0.2
95,0.12,0.1,0.23
96,0.12,0.12,0.18
97,0.12,0.13,0.19
98,0.11,0.11,0.22
99,0.24,0.12,0.19
100,0.22,0.13,0.19
101,0.21,0.14,0.32
102,0.24,0.15,0.23
103,0.27,0.1,0.22
104,0.25,0.15,0.26
105,0.26,0.19,0.24
106,0.23,0.1,0.14
107,0.17,0.13,0.15
108,0.26,0.12,0.2
109,0.25,0.15,0.2
110,0.07,0.11,0.19
111,0.13,0.06,0.14
112,0.1,0.11,0.22
113,0.14,0.12,0.2
114,0.17,0.15,0.16
115,0.21,0.06,0.21
116,0.24,0.12,0.24
117,0.25,0.16,0.28
118,0.24,0.05,0.24
119,0.29,0.1,0.26
120,0.19,0.27,0.2
