SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.41131,0.437529,0.437241,0.431582
-18,0.389368,0.421618,0.423252,0.413373
-16,0.361334,0.402529,0.40392,0.394258
-14,0.328076,0.379228,0.381275,0.36971
-12,0.287228,0.350662,0.357423,0.340163
-10,0.240097,0.319368,0.330341,0.307545
-9,0.213108,0.301575,0.315288,0.292122
-8,0.187618,0.284371,0.302346,0.274467
-7,0.159358,0.265328,0.289329,0.257743
-6,0.130548,0.248201,0.277922,0.241547
-5,0.104586,0.230251,0.269039,0.226063
-4,0.078894,0.212647,0.261725,0.212864
-3.0,0.056232,0.196874,0.255924,0.200218
-2.8,0.052919,0.193322,0.25524,0.19872
-2.6,0.048783,0.19119,0.25416,0.195201
-2.4,0.045361,0.188533,0.253713,0.193673
-2.2,0.041076,0.185184,0.253743,0.192229
-2.0,0.037748,0.182381,0.252734,0.189495
-1.8,0.034652,0.179378,0.252449,0.187753
-1.6,0.031269,0.1767,0.253026,0.185639
-1.4,0.028054,0.174149,0.252052,0.183599
-1.2,0.026006,0.171486,0.251775,0.182166
-1.0,0.023275,0.169285,0.25131,0.181028
-0.8,0.020604,0.167538,0.25086,0.179062
-0.6,0.018717,0.164379,0.250189,0.177147
-0.4,0.016556,0.162585,0.250871,0.175529
-0.2,0.014508,0.159992,0.250623,0.17479
0.0,0.012722,0.158349,0.25086,0.173212
0.2,0.011584,0.156432,0.249714,0.172144
0.4,0.009589,0.153831,0.250884,0.170293
0.6,0.00818,0.152144,0.249828,0.169699
0.8,0.007089,0.150259,0.250158,0.168918
1.0,0.006049,0.148743,0.249746,0.166607
1.2,0.005027,0.147005,0.250066,0.166288
1.4,0.004207,0.145659,0.250704,0.165693
1.6,0.003684,0.144218,0.249569,0.164826
1.8,0.003069,0.141783,0.250036,0.164171
2.0,0.002352,0.140685,0.24953,0.163259
2.2,0.001994,0.140062,0.249584,0.161896
2.4,0.001572,0.138298,0.250647,0.161703
2.6,0.001302,0.137248,0.250292,0.160775
2.8,9.51E-4,0.136305,0.249897,0.160054
3.0,7.63E-4,0.135351,0.250134,0.15955
3.2,6.72E-4,0.134421,0.249756,0.159954
3.4,4.19E-4,0.133249,0.249759,0.160186
3.6,3.28E-4,0.132464,0.250511,0.158635
3.8,2.7E-4,0.13117,0.250358,0.158838
4.0,1.93E-4,0.130225,0.250098,0.158949
4.2,1.62E-4,0.130094,0.250378,0.159162
4.4,1.25E-4,0.129337,0.249167,0.159092
4.6,6.7E-5,0.128668,0.249959,0.158861
4.8,4.3E-5,0.128701,0.250071,0.158991
5.0,5.5E-5,0.128097,0.250226,0.158957
5.5,1.5E-5,0.127244,0.249841,0.159568
6.0,8.0E-6,0.126619,0.250391,0.160813
6.5,0.0,0.125808,0.249875,0.161796
7.0,0.0,0.125581,0.250023,0.163169
7.5,0.0,0.125847,0.250635,0.165908
8.0,0.0,0.125128,0.250324,0.167428
8.5,0.0,0.125502,0.25052,0.168726
9.0,0.0,0.125456,0.250418,0.172495
9.5,0.0,0.124897,0.250554,0.174725
10.0,0.0,0.125347,0.249642,0.178263
