SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.4091,0.4273,0.4269,0.4227
-18,0.3898,0.4168,0.4297,0.4196
-16,0.3652,0.3949,0.4072,0.3879
-14,0.324,0.371,0.3813,0.3726
-12,0.279,0.3498,0.3609,0.3455
-10,0.2457,0.3193,0.3231,0.3059
-9,0.2088,0.299,0.31,0.2918
-8,0.1818,0.2825,0.2967,0.2855
-7,0.1655,0.2742,0.2924,0.2518
-6,0.1335,0.2449,0.289,0.2438
-5,0.108,0.237,0.2732,0.23
-4,0.0751,0.2135,0.2575,0.2067
-3.0,0.0586,0.2018,0.2607,0.1914
-2.8,0.0574,0.1952,0.2593,0.2035
-2.6,0.0518,0.1931,0.255,0.1954
-2.4,0.045,0.1906,0.251,0.1961
-2.2,0.038,0.1883,0.2519,0.1892
-2.0,0.0402,0.1889,0.2549,0.1952
-1.8,0.0334,0.1794,0.258,0.2028
-1.6,0.0283,0.1804,0.2509,0.1869
-1.4,0.0293,0.1756,0.2509,0.1863
-1.2,0.0218,0.1709,0.2502,0.1852
-1.0,0.0214,0.1722,0.2562,0.1813
-0.8,0.0229,0.1673,0.2566,0.1758
-0.6,0.019,0.1665,0.2581,0.1763
-0.4,0.017,0.163,0.2493,0.1751
-0.2,0.0145,0.1624,0.2528,0.1756
0.0,0.0117,0.1609,0.2547,0.166
0.2,0.0119,0.1518,0.2563,0.1769
0.4,0.0107,0.1527,0.2469,0.1708
0.6,0.0071,0.1523,0.2581,0.165
0.8,0.006,0.1549,0.2497,0.1631
1.0,0.0093,0.1471,0.2468,0.1718
1.2,0.0058,0.1427,0.255,0.1646
1.4,0.0031,0.1457,0.2472,0.1584
1.6,0.0048,0.1414,0.2533,0.1577
1.8,0.0037,0.1382,0.2545,0.1633
2.0,0.0025,0.1485,0.2476,0.1592
2.2,0.0028,0.1484,0.246,0.1596
2.4,0.0015,0.1416,0.2521,0.1589
2.6,2.0E-4,0.1376,0.2444,0.1612
2.8,5.0E-4,0.1355,0.2493,0.1623
3.0,7.0E-4,0.1326,0.2486,0.1623
3.2,0.0011,0.1438,0.254,0.1644
3.4,9.0E-4,0.1345,0.2498,0.1613
3.6,1.0E-4,0.1313,0.2523,0.1638
3.8,7.0E-4,0.1322,0.2476,0.164
4.0,4.0E-4,0.1291,0.247,0.1554
4.2,0.0,0.1321,0.2504,0.1593
4.4,2.0E-4,0.1279,0.2513,0.1612
4.6,0.0,0.134,0.2501,0.1554
4.8,0.0,0.128,0.2491,0.1528
5.0,0.0,0.1247,0.2465,0.1592
5.5,2.0E-4,0.1279,0.2397,0.1589
6.0,0.0,0.1218,0.2546,0.1621
6.5,0.0,0.1255,0.2418,0.1632
7.0,0.0,0.1234,0.2493,0.1661
7.5,0.0,0.1258,0.2535,0.1647
8.0,0.0,0.1257,0.2489,0.1666
8.5,0.0,0.1288,0.2482,0.169
9.0,0.0,0.1246,0.2505,0.1748
9.5,0.0,0.1218,0.2484,0.1684
10.0,0.0,0.1233,0.2475,0.1697
