SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.383186,0.417624,0.417897,0.408915
-18,0.354194,0.398624,0.399599,0.387764
-16,0.318031,0.375245,0.376311,0.360648
-14,0.276136,0.348074,0.349936,0.329428
-12,0.227974,0.319838,0.322957,0.294307
-10,0.174067,0.290322,0.295732,0.258501
-9,0.14606,0.275847,0.28468,0.238925
-8,0.119833,0.263447,0.273647,0.22057
-7,0.09432,0.251837,0.265372,0.203034
-6,0.070152,0.242324,0.258919,0.185861
-5,0.049538,0.235274,0.254561,0.171384
-4,0.032645,0.228352,0.252655,0.157189
-3.0,0.020025,0.223808,0.250871,0.14535
-2.8,0.017875,0.22275,0.250516,0.143
-2.6,0.015576,0.221578,0.250601,0.140461
-2.4,0.013764,0.221349,0.250021,0.138439
-2.2,0.012516,0.220246,0.250058,0.136431
-2.0,0.011182,0.219553,0.249446,0.13491
-1.8,0.00964,0.218738,0.251446,0.133342
-1.6,0.008152,0.218374,0.250142,0.13102
-1.4,0.007193,0.217366,0.250026,0.128391
-1.2,0.006165,0.217153,0.250188,0.127595
-1.0,0.005235,0.216164,0.249457,0.125374
-0.8,0.004544,0.215465,0.249528,0.12431
-0.6,0.003856,0.215542,0.250136,0.122666
-0.4,0.00316,0.214871,0.249907,0.121749
-0.2,0.002735,0.214099,0.249887,0.119813
0.0,0.002393,0.213622,0.249852,0.118042
0.2,0.001891,0.212819,0.249704,0.117176
0.4,0.00157,0.213132,0.250225,0.115769
0.6,0.001203,0.212138,0.250299,0.114296
0.8,9.81E-4,0.211485,0.250118,0.113474
1.0,7.89E-4,0.211223,0.249559,0.111986
1.2,6.06E-4,0.210808,0.250357,0.110827
1.4,5.33E-4,0.210782,0.250246,0.109958
1.6,4.3E-4,0.210785,0.249333,0.109163
1.8,2.86E-4,0.210879,0.250314,0.107965
2.0,1.76E-4,0.209522,0.249528,0.106757
2.2,1.78E-4,0.209735,0.249942,0.106462
2.4,1.31E-4,0.210009,0.249739,0.106276
2.6,9.1E-5,0.209915,0.250447,0.10501
2.8,8.0E-5,0.209989,0.250047,0.104536
3.0,5.5E-5,0.209452,0.249832,0.103452
3.2,2.8E-5,0.209669,0.249757,0.103557
3.4,3.4E-5,0.209705,0.250134,0.102593
3.6,1.2E-5,0.209331,0.250219,0.102774
3.8,8.0E-6,0.210229,0.250323,0.102285
4.0,5.0E-6,0.209712,0.250435,0.101351
4.2,3.0E-6,0.210031,0.250321,0.101084
4.4,2.0E-6,0.210167,0.249617,0.101447
4.6,3.0E-6,0.210711,0.249825,0.100747
4.8,2.0E-6,0.211098,0.250423,0.100719
5.0,1.0E-6,0.211302,0.249832,0.101021
5.5,0.0,0.212579,0.249801,0.101031
6.0,0.0,0.213841,0.249548,0.100225
6.5,0.0,0.215271,0.249948,0.100366
7.0,0.0,0.217873,0.249934,0.10087
7.5,0.0,0.22011,0.249628,0.101098
8.0,0.0,0.222262,0.250058,0.101639
8.5,0.0,0.224824,0.25052,0.101895
9.0,0.0,0.228133,0.250397,0.102625
9.5,0.0,0.230513,0.249775,0.103871
10.0,0.0,0.233466,0.250819,0.104347
