DT,TEB_RZ,TEB_NRZ,TEB_NRZT
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.250275,0.0,0.0
3,0.249935,0.24977,0.250208
4,0.124904,0.124988,0.124855
5,0.249811,0.124962,0.125105
6,0.249777,0.249674,0.250348
7,0.124788,0.125228,0.125104
8,0.250123,0.124769,0.125055
9,0.249956,0.25074,0.249472
10,0.125307,0.124813,0.124537
11,0.249871,0.124899,0.124907
12,0.249536,0.250101,0.250013
13,0.124854,0.124951,0.125074
14,0.249467,0.124696,0.125267
15,0.25018,0.249812,0.249947
16,0.124759,0.125294,0.125107
17,0.249733,0.125289,0.125211
18,0.250572,0.250211,0.250021
19,0.124738,0.125448,0.125037
20,0.249783,0.125357,0.124904
21,0.249567,0.249986,0.250287
22,0.124944,0.125146,0.124554
23,0.24966,0.124906,0.124986
24,0.250128,0.249926,0.250178
25,0.125422,0.124636,0.124833
26,0.250082,0.124935,0.125383
27,0.249855,0.249752,0.250128
28,0.125007,0.125198,0.125055
29,0.249762,0.124963,0.125236
30,0.249666,0.250266,0.249816
31,0.125479,0.125198,0.124801
32,0.250176,0.12498,0.125425
33,0.249884,0.250133,0.249863
34,0.125211,0.124772,0.125452
35,0.249962,0.124889,0.124782
36,0.250115,0.249661,0.249902
37,0.125086,0.125166,0.125198
38,0.249656,0.124975,0.125422
39,0.250005,0.250381,0.250071
40,0.125152,0.125389,0.125196
41,0.249966,0.124905,0.125404
42,0.249968,0.250121,0.25011
43,0.12451,0.124763,0.124909
44,0.250501,0.125352,0.12549
45,0.250136,0.249899,0.250145
46,0.125048,0.124804,0.125012
47,0.250228,0.1257,0.124963
48,0.249767,0.249828,0.249786
49,0.125113,0.124819,0.125495
50,0.249934,0.124745,0.125474
51,0.250057,0.250066,0.250459
52,0.125147,0.124575,0.125674
53,0.249574,0.124674,0.124982
54,0.249875,0.249827,0.250031
55,0.12488,0.125119,0.124695
56,0.250065,0.125075,0.124824
57,0.250276,0.250066,0.250345
58,0.125186,0.124952,0.125348
59,0.250098,0.125127,0.124578
60,0.250031,0.249884,0.249884
61,0.125296,0.125245,0.124731
62,0.250071,0.125428,0.125228
63,0.250074,0.250714,0.250183
64,0.125043,0.124993,0.124829
65,0.249984,0.12503,0.124468
66,0.250186,0.24958,0.249603
67,0.124869,0.124765,0.124838
68,0.249925,0.124881,0.124925
69,0.249875,0.249473,0.249636
70,0.124953,0.125347,0.124507
71,0.249668,0.124654,0.124911
72,0.250372,0.249778,0.250043
73,0.12518,0.124363,0.124766
74,0.249991,0.12494,0.125125
75,0.249777,0.249845,0.249962
76,0.124651,0.125407,0.124861
77,0.24986,0.124971,0.124647
78,0.249704,0.25003,0.250031
79,0.125009,0.124477,0.12523
80,0.249647,0.125451,0.124967
81,0.250378,0.250533,0.249879
82,0.124904,0.12559,0.125345
83,0.2499,0.125137,0.124918
84,0.250027,0.249912,0.249908
85,0.125141,0.125155,0.125079
86,0.250164,0.125365,0.124522
87,0.250108,0.249749,0.250272
88,0.12514,0.12538,0.12485
89,0.249537,0.12504,0.125231
90,0.250079,0.250675,0.250213
91,0.125238,0.124676,0.12481
92,0.250044,0.125084,0.125359
93,0.249622,0.249796,0.249889
94,0.124325,0.124642,0.124703
95,0.249766,0.125135,0.125039
96,0.250056,0.250035,0.249729
97,0.125009,0.124741,0.12545
98,0.24994,0.124976,0.125386
99,0.250028,0.249904,0.250064
100,0.124726,0.125189,0.124714
101,0.249539,0.125182,0.124854
102,0.250333,0.249945,0.250236
103,0.12508,0.12475,0.125153
104,0.249525,0.124743,0.125001
105,0.250354,0.250127,0.249634
106,0.124905,0.124461,0.12464
107,0.250148,0.124644,0.124961
108,0.249998,0.250221,0.250022
109,0.124988,0.125167,0.1248
110,0.249789,0.12528,0.124966
111,0.249893,0.249646,0.250486
112,0.124547,0.124769,0.124972
113,0.249769,0.125065,0.125193
114,0.250087,0.249845,0.250535
115,0.124829,0.125008,0.125048
116,0.250054,0.124543,0.124542
117,0.250368,0.250238,0.249458
118,0.124842,0.125112,0.124602
119,0.250331,0.12507,0.124703
120,0.250079,0.249769,0.24979
