SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.44444445,0.22222222,0.6666667
-59,0.7777778,0.33333334,0.44444445
-58,0.5555556,0.33333334,0.33333334
-57,0.44444445,0.5555556,0.7777778
-56,0.44444445,0.5555556,0.5555556
-55,0.33333334,0.22222222,0.5555556
-54,0.6666667,0.44444445,0.5555556
-53,0.44444445,0.44444445,0.6666667
-52,0.11111111,0.33333334,0.6666667
-51,0.44444445,0.33333334,0.44444445
-50,0.6666667,0.44444445,0.22222222
-49,0.6666667,0.5555556,0.22222222
-48,0.6666667,0.44444445,0.8888889
-47,0.44444445,0.6666667,0.33333334
-46,0.44444445,0.33333334,0.6666667
-45,0.5555556,0.33333334,0.33333334
-44,0.33333334,0.6666667,0.6666667
-43,0.44444445,0.6666667,0.5555556
-42,0.33333334,0.44444445,0.5555556
-41,0.5555556,0.44444445,0.44444445
-40,0.5555556,0.5555556,0.6666667
-39,0.6666667,0.5555556,0.5555556
-38,0.44444445,0.5555556,0.6666667
-37,0.33333334,0.0,0.7777778
-36,0.33333334,0.44444445,0.22222222
-35,0.44444445,0.5555556,0.11111111
-34,0.33333334,0.33333334,0.33333334
-33,0.5555556,0.5555556,0.7777778
-32,0.33333334,0.22222222,0.33333334
-31,0.6666667,0.33333334,0.5555556
-30,0.22222222,0.5555556,0.33333334
-29,0.0,0.44444445,0.44444445
-28,0.6666667,0.33333334,0.5555556
-27,0.6666667,0.7777778,0.5555556
-26,0.44444445,0.0,0.22222222
-25,0.7777778,0.6666667,0.5555556
-24,0.5555556,0.33333334,0.44444445
-23,0.33333334,0.22222222,0.22222222
-22,0.44444445,0.44444445,0.7777778
-21,0.5555556,0.44444445,0.33333334
-20,0.44444445,0.44444445,0.6666667
-19,0.33333334,0.5555556,0.44444445
-18,0.33333334,0.33333334,0.22222222
-17,0.7777778,0.33333334,0.44444445
-16,0.33333334,0.5555556,0.6666667
-15,0.44444445,0.6666667,0.0
-14,0.11111111,0.44444445,0.0
-13,0.0,0.33333334,0.0
-12,0.33333334,0.0,0.5555556
-11,0.0,0.0,0.0
-10,0.0,0.5555556,0.33333334
-9,0.5555556,0.44444445,0.6666667
-8,0.0,0.44444445,0.0
-7,0.5555556,0.0,0.6666667
-6,0.0,0.5555556,0.0
-5,0.0,0.0,0.0
-4,0.44444445,0.0,0.0
-3,0.0,0.0,0.0
-2,0.0,0.0,0.0
-1,0.6666667,0.0,0.0
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
