SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.44444445,0.6666667,0.6666667
-59,0.5555556,0.5555556,0.8888889
-58,0.6666667,0.5555556,0.5555556
-57,0.44444445,0.6666667,0.44444445
-56,0.44444445,0.6666667,0.6666667
-55,0.33333334,0.8888889,0.5555556
-54,0.33333334,0.5555556,0.6666667
-53,0.7777778,0.44444445,0.5555556
-52,0.33333334,0.5555556,0.5555556
-51,0.6666667,0.33333334,0.8888889
-50,0.33333334,0.33333334,0.5555556
-49,0.5555556,0.44444445,0.44444445
-48,0.44444445,0.33333334,0.22222222
-47,0.8888889,0.7777778,0.33333334
-46,0.6666667,0.44444445,0.33333334
-45,0.5555556,0.44444445,0.7777778
-44,0.5555556,0.5555556,0.6666667
-43,0.33333334,0.6666667,0.22222222
-42,0.33333334,0.33333334,0.44444445
-41,0.44444445,0.22222222,0.6666667
-40,0.5555556,0.44444445,0.6666667
-39,0.44444445,0.44444445,0.44444445
-38,0.6666667,0.22222222,0.33333334
-37,0.7777778,0.5555556,0.6666667
-36,0.33333334,0.44444445,1.0
-35,0.44444445,0.5555556,0.44444445
-34,0.11111111,0.44444445,0.33333334
-33,0.33333334,0.33333334,0.22222222
-32,0.5555556,0.33333334,0.6666667
-31,0.44444445,0.5555556,0.44444445
-30,0.5555556,0.33333334,0.44444445
-29,0.6666667,0.44444445,0.7777778
-28,0.44444445,0.33333334,0.11111111
-27,0.44444445,0.11111111,0.33333334
-26,0.7777778,0.44444445,0.44444445
-25,0.33333334,0.5555556,0.5555556
-24,0.5555556,0.6666667,0.44444445
-23,0.5555556,0.11111111,0.5555556
-22,0.5555556,0.33333334,0.5555556
-21,0.33333334,0.33333334,0.33333334
-20,0.22222222,0.22222222,0.33333334
-19,0.33333334,0.11111111,0.33333334
-18,0.44444445,0.44444445,0.22222222
-17,0.22222222,0.33333334,0.22222222
-16,0.33333334,0.22222222,0.22222222
-15,0.33333334,0.33333334,0.44444445
-14,0.44444445,0.11111111,0.22222222
-13,0.22222222,0.22222222,0.22222222
-12,0.22222222,0.22222222,0.22222222
-11,0.44444445,0.22222222,0.0
-10,0.11111111,0.22222222,0.33333334
-9,0.33333334,0.0,0.11111111
-8,0.22222222,0.0,0.0
-7,0.22222222,0.0,0.11111111
-6,0.22222222,0.0,0.0
-5,0.22222222,0.11111111,0.22222222
-4,0.11111111,0.0,0.0
-3,0.0,0.0,0.0
-2,0.0,0.0,0.0
-1,0.0,0.0,0.0
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
