SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.50155014,0.50225025,0.4921492
-59,0.50115013,0.5033503,0.50135016
-58,0.49664965,0.49634963,0.49624962
-57,0.49584958,0.5037504,0.49944994
-56,0.49704972,0.4960496,0.49324933
-55,0.49744976,0.48844886,0.49764976
-54,0.49134913,0.49934992,0.5008501
-53,0.49164915,0.4849485,0.50225025
-52,0.50135016,0.4890489,0.5009501
-51,0.49995,0.49964997,0.49274927
-50,0.49534953,0.49774978,0.4891489
-49,0.48984897,0.49674967,0.4890489
-48,0.50165015,0.49074906,0.490049
-47,0.4929493,0.48064807,0.48834884
-46,0.490049,0.480048,0.49374938
-45,0.4940494,0.4831483,0.48324832
-44,0.48024803,0.48144814,0.48114812
-43,0.49754974,0.49454945,0.48044804
-42,0.4830483,0.47514752,0.4839484
-41,0.4909491,0.47434744,0.48544854
-40,0.49754974,0.47854784,0.4740474
-39,0.48734874,0.4738474,0.47934794
-38,0.4880488,0.4809481,0.47684768
-37,0.47974798,0.4648465,0.46864685
-36,0.47834784,0.46834683,0.4688469
-35,0.47304732,0.4529453,0.47264728
-34,0.4688469,0.4548455,0.45654565
-33,0.47274727,0.4442444,0.45034504
-32,0.46634662,0.44504452,0.45334533
-31,0.45874587,0.44274428,0.4460446
-30,0.46094608,0.42534253,0.4311431
-29,0.45144513,0.42734274,0.43384337
-28,0.4527453,0.4112411,0.420242
-27,0.44164416,0.40644065,0.41654167
-26,0.4420442,0.3920392,0.40184018
-25,0.42274228,0.37353736,0.3872387
-24,0.41914192,0.3649365,0.3850385
-23,0.4171417,0.35073507,0.36553654
-22,0.39973998,0.32853284,0.3489349
-21,0.38373837,0.30973098,0.33223322
-20,0.3649365,0.29372936,0.3150315
-19,0.3570357,0.27152714,0.2830283
-18,0.34223422,0.24062406,0.2668267
-17,0.31753176,0.22312231,0.24742474
-16,0.30533054,0.19251925,0.22052205
-15,0.27472746,0.16121612,0.19871987
-14,0.25732574,0.13931394,0.16341634
-13,0.22472247,0.10841084,0.14041404
-12,0.20492049,0.087408744,0.11581158
-11,0.17131713,0.06140614,0.09030903
-10,0.1470147,0.041504152,0.0680068
-9,0.12221222,0.023802381,0.05080508
-8,0.09510951,0.01550155,0.031203121
-7,0.06860686,0.0080008,0.01870187
-6,0.04950495,0.00270027,0.01330133
-5,0.03170317,7.0007E-4,0.00620062
-4,0.01840184,0.0,0.0030003001
-3,0.00980098,1.0001E-4,0.00160016
-2,0.00380038,0.0,4.0004E-4
-1,8.0008E-4,0.0,0.0
0,5.0005E-4,0.0,0.0
1,2.0002E-4,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
