SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.49751496,0.498085,0.497555
-59,0.49749497,0.49614495,0.501185
-58,0.498455,0.49574494,0.49590495
-57,0.498175,0.49862498,0.49895498
-56,0.49820498,0.498765,0.498585
-55,0.49730498,0.49705496,0.49693498
-54,0.49621496,0.49428496,0.49532494
-53,0.49446493,0.498215,0.49796498
-52,0.49877498,0.49560496,0.49620497
-51,0.49506494,0.49696496,0.49754497
-50,0.501645,0.49642497,0.49519494
-49,0.497335,0.49620497,0.49450496
-48,0.49485496,0.4911049,0.49259493
-47,0.49446493,0.49286494,0.49486494
-46,0.49409494,0.49397495,0.49371493
-45,0.49660498,0.49178493,0.49173492
-44,0.49534497,0.4889649,0.4909349
-43,0.49613497,0.48719487,0.4887049
-42,0.49351493,0.4905749,0.4898549
-41,0.4903949,0.48573485,0.48942488
-40,0.4910149,0.4798248,0.48590487
-39,0.4897049,0.48366484,0.48584485
-38,0.4890449,0.4793048,0.48338485
-37,0.48591486,0.47674477,0.48269483
-36,0.48424485,0.47576475,0.47670478
-35,0.48312482,0.47382474,0.47322473
-34,0.4797348,0.4709047,0.47311473
-33,0.47725478,0.46542466,0.46585464
-32,0.47728476,0.46387464,0.46438465
-31,0.4724647,0.45615456,0.45913458
-30,0.4687447,0.45239452,0.45580456
-29,0.46452466,0.44391444,0.45055452
-28,0.46257463,0.43917438,0.44428444
-27,0.45584455,0.43338433,0.43728438
-26,0.45328453,0.42327422,0.42814428
-25,0.44635445,0.41196412,0.4198042
-24,0.4383244,0.40089402,0.4107841
-23,0.4314543,0.39440393,0.398794
-22,0.42281422,0.37985379,0.3903439
-21,0.41294414,0.3611136,0.37725377
-20,0.40278402,0.3501035,0.3608736
-19,0.39464393,0.33511335,0.34417343
-18,0.3798838,0.31392315,0.33079332
-17,0.36448365,0.29341292,0.30721307
-16,0.34647346,0.2689527,0.28633288
-15,0.33271334,0.24782248,0.26652268
-14,0.31326312,0.22132221,0.23822238
-13,0.29253292,0.19155191,0.21516216
-12,0.2683327,0.16660167,0.18834189
-11,0.24196242,0.13689137,0.16250162
-10,0.21835218,0.11145111,0.13578136
-9,0.19211192,0.08316083,0.10734107
-8,0.16463165,0.06335063,0.08233082
-7,0.13540135,0.04184042,0.06287063
-6,0.10854109,0.026230263,0.04319043
-5,0.08197082,0.014570146,0.028590286
-4,0.061630618,0.007100071,0.016790168
-3,0.041680418,0.0029700296,0.009600096
-2,0.025280252,0.0010900109,0.0041600415
-1,0.015110151,3.100031E-4,0.0018100181
0,0.007510075,4.00004E-5,7.300073E-4
1,0.0030200302,2.00002E-5,1.800018E-4
2,9.600096E-4,0.0,8.00008E-5
3,2.00002E-4,0.0,0.0
4,2.00002E-5,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
