SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.5035035,0.4974975,0.5055055
-59,0.4764765,0.4944945,0.46846846
-58,0.5135135,0.46946946,0.4884885
-57,0.47447446,0.5005005,0.5075075
-56,0.4804805,0.4824825,0.5125125
-55,0.4874875,0.5305305,0.4844845
-54,0.4964965,0.5395395,0.4944945
-53,0.4884885,0.47447446,0.5045045
-52,0.5075075,0.5045045,0.5095095
-51,0.5175175,0.4954955,0.4984985
-50,0.4764765,0.5085085,0.4864865
-49,0.4934935,0.4874875,0.4754755
-48,0.4994995,0.4934935,0.5125125
-47,0.46546546,0.5145145,0.47347346
-46,0.46346346,0.47047046,0.46846846
-45,0.4964965,0.46346346,0.5005005
-44,0.4904905,0.4774775,0.47147146
-43,0.47147146,0.45045045,0.46946946
-42,0.46746746,0.4844845,0.47347346
-41,0.5035035,0.4824825,0.46946946
-40,0.47347346,0.4834835,0.4754755
-39,0.4864865,0.45945945,0.46146145
-38,0.5105105,0.45745745,0.4844845
-37,0.47247246,0.46546546,0.44144145
-36,0.4924925,0.43143144,0.43643644
-35,0.45745745,0.46046045,0.44444445
-34,0.45145145,0.43743744,0.45445445
-33,0.44044045,0.43743744,0.44244245
-32,0.42942944,0.43443444,0.4194194
-31,0.43343344,0.4064064,0.4144144
-30,0.44744745,0.3753754,0.4124124
-29,0.44744745,0.3823824,0.4014014
-28,0.4164164,0.3963964,0.4044044
-27,0.4244244,0.35835835,0.3853854
-26,0.4234234,0.34134135,0.35535535
-25,0.4114114,0.3183183,0.36436436
-24,0.36936936,0.3153153,0.34234235
-23,0.36036035,0.2852853,0.3023023
-22,0.35635635,0.25725725,0.2982983
-21,0.35635635,0.22722723,0.27227226
-20,0.3113113,0.22222222,0.26126125
-19,0.2822823,0.1881882,0.23123123
-18,0.27327326,0.15915915,0.1971972
-17,0.23823825,0.13513513,0.16616617
-16,0.22122122,0.122122124,0.15315315
-15,0.22022022,0.09309309,0.10710711
-14,0.1901902,0.066066064,0.0950951
-13,0.15215215,0.038038038,0.066066064
-12,0.13913915,0.025025025,0.045045044
-11,0.09209209,0.01001001,0.038038038
-10,0.062062062,0.007007007,0.022022022
-9,0.042042043,0.001001001,0.011011011
-8,0.033033032,0.0,0.005005005
-7,0.009009009,0.0,0.003003003
-6,0.015015015,0.0,0.001001001
-5,0.007007007,0.0,0.0
-4,0.003003003,0.0,0.0
-3,0.0,0.0,0.0
-2,0.0,0.0,0.0
-1,0.0,0.0,0.0
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
