SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.4964965,0.4944945,0.4834835
-59,0.5045045,0.5235235,0.4854855
-58,0.5225225,0.4974975,0.5105105
-57,0.5095095,0.5055055,0.4784785
-56,0.5035035,0.46946946,0.5185185
-55,0.4804805,0.4934935,0.4844845
-54,0.4814815,0.5085085,0.5105105
-53,0.4774775,0.5025025,0.47147146
-52,0.5035035,0.5035035,0.4974975
-51,0.5085085,0.47147146,0.5145145
-50,0.4904905,0.4884885,0.4854855
-49,0.47047046,0.5145145,0.4974975
-48,0.46346346,0.4784785,0.4834835
-47,0.5035035,0.47247246,0.4784785
-46,0.5025025,0.5155155,0.4954955
-45,0.5015015,0.45645645,0.4844845
-44,0.46246246,0.5045045,0.47347346
-43,0.4904905,0.4794795,0.47347346
-42,0.45345345,0.4994995,0.46246246
-41,0.47147146,0.46446446,0.4804805
-40,0.5135135,0.47147146,0.4894895
-39,0.5045045,0.47347346,0.5095095
-38,0.4984985,0.47247246,0.47347346
-37,0.47147146,0.47147146,0.4864865
-36,0.4784785,0.47447446,0.4854855
-35,0.4964965,0.44844845,0.4874875
-34,0.47347346,0.4764765,0.46446446
-33,0.47047046,0.44244245,0.45145145
-32,0.4774775,0.42842844,0.4784785
-31,0.46746746,0.43443444,0.45945945
-30,0.44644645,0.4234234,0.43643644
-29,0.46846846,0.4004004,0.4244244
-28,0.46046045,0.4114114,0.4234234
-27,0.4214214,0.4174174,0.3933934
-26,0.43843845,0.3903904,0.37137136
-25,0.4044044,0.3763764,0.36636636
-24,0.44944945,0.3813814,0.3883884
-23,0.3993994,0.33333334,0.35935935
-22,0.3843844,0.34334335,0.36836836
-21,0.36236235,0.34234235,0.3183183
-20,0.33633634,0.3143143,0.3083083
-19,0.3173173,0.2752753,0.26826826
-18,0.32532534,0.25525525,0.2912913
-17,0.2912913,0.23423423,0.24224225
-16,0.2942943,0.17817818,0.1971972
-15,0.26626626,0.15315315,0.18418418
-14,0.24224225,0.14814815,0.14014015
-13,0.23323323,0.1001001,0.13313313
-12,0.21321322,0.07907908,0.09209209
-11,0.2062062,0.05305305,0.08108108
-10,0.116116114,0.04704705,0.06506506
-9,0.12012012,0.025025025,0.057057057
-8,0.077077076,0.008008008,0.033033032
-7,0.0950951,0.011011011,0.035035037
-6,0.036036037,0.001001001,0.013013013
-5,0.03003003,0.0,0.011011011
-4,0.015015015,0.0,0.0
-3,0.014014014,0.0,0.002002002
-2,0.006006006,0.0,0.0
-1,0.001001001,0.0,0.0
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
