SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.4947495,0.4990499,0.49524954
-59,0.49644965,0.48744875,0.48834884
-58,0.49754974,0.49564958,0.49954996
-57,0.49674967,0.4968497,0.4888489
-56,0.4950495,0.48514852,0.49084908
-55,0.50555056,0.49754974,0.5009501
-54,0.5018502,0.49204922,0.49434942
-53,0.49664965,0.4959496,0.49394938
-52,0.50055003,0.48164818,0.49664965
-51,0.48894888,0.49664965,0.49544954
-50,0.49254924,0.49864987,0.48584858
-49,0.4979498,0.49954996,0.48774877
-48,0.49254924,0.49034902,0.49074906
-47,0.49414942,0.4849485,0.48774877
-46,0.48944893,0.4862486,0.4809481
-45,0.48364836,0.48334834,0.48324832
-44,0.4947495,0.47634763,0.48064807
-43,0.4980498,0.4738474,0.48674867
-42,0.4788479,0.47834784,0.4820482
-41,0.4812481,0.4779478,0.4720472
-40,0.48524854,0.46734673,0.47274727
-39,0.4788479,0.46254626,0.47064707
-38,0.480048,0.4689469,0.45654565
-37,0.479848,0.4648465,0.45374537
-36,0.47744775,0.4479448,0.4582458
-35,0.47244725,0.44574457,0.45884588
-34,0.46664667,0.44864488,0.44284427
-33,0.45534554,0.42454246,0.43864387
-32,0.45974597,0.43074307,0.43834382
-31,0.4620462,0.4129413,0.42914292
-30,0.44384438,0.41034102,0.41134113
-29,0.4418442,0.3822382,0.4007401
-28,0.43154314,0.38333833,0.38073808
-27,0.4131413,0.36523652,0.3740374
-26,0.40134013,0.35553557,0.3539354
-25,0.39773977,0.3420342,0.34773478
-24,0.39743975,0.31493148,0.33673367
-23,0.3822382,0.29042906,0.31363136
-22,0.3729373,0.27322733,0.29092908
-21,0.33883387,0.239924,0.2742274
-20,0.3249325,0.2170217,0.24442445
-19,0.3070307,0.19331934,0.22472247
-18,0.29022902,0.16461647,0.20252025
-17,0.25832585,0.13651365,0.170017
-16,0.2430243,0.11071107,0.14061406
-15,0.21642165,0.08070807,0.12311231
-14,0.17881788,0.0640064,0.09130913
-13,0.15241525,0.03990399,0.06520652
-12,0.12461246,0.02350235,0.04730473
-11,0.0970097,0.01520152,0.02730273
-10,0.08250825,0.00980098,0.0220022
-9,0.05270527,0.00230023,0.01170117
-8,0.04030403,0.0010001,0.0078007802
-7,0.01970197,0.0,0.00320032
-6,0.01240124,0.0,0.00190019
-5,0.0060006003,0.0,5.0005E-4
-4,0.00170017,0.0,0.0
-3,6.0006E-4,0.0,1.0001E-4
-2,2.0002E-4,0.0,0.0
-1,0.0,0.0,0.0
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
