SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.4991895,0.4992955,0.4988825
-59,0.4998165,0.4993205,0.4994125
-58,0.4993975,0.4989115,0.49893948
-57,0.4986315,0.4991065,0.4987085
-56,0.4993005,0.4988815,0.4994775
-55,0.4989245,0.4989855,0.4983655
-54,0.4990745,0.4989245,0.4993165
-53,0.4983225,0.4986955,0.4978755
-52,0.4978805,0.4986565,0.4979175
-51,0.49833348,0.4972885,0.49667948
-50,0.4980005,0.49813148,0.4985415
-49,0.4985015,0.4987545,0.4975655
-48,0.4969405,0.4963105,0.4974895
-47,0.4978535,0.4969335,0.4967545
-46,0.4972195,0.4966065,0.4964075
-45,0.4973405,0.49537748,0.4961035
-44,0.4959655,0.4952395,0.4963415
-43,0.4964165,0.4959775,0.4948535
-42,0.4959165,0.4944715,0.4947595
-41,0.4943225,0.4934125,0.4939535
-40,0.4948285,0.49385148,0.49291548
-39,0.49329048,0.4913405,0.49276748
-38,0.4930785,0.49213248,0.4913075
-37,0.4921305,0.49018148,0.49053648
-36,0.49008048,0.49032548,0.4886135
-35,0.4898445,0.4875885,0.4873885
-34,0.4888895,0.48522347,0.48519948
-33,0.4869105,0.48434147,0.4847025
-32,0.48633748,0.48210248,0.48396447
-31,0.48350647,0.4808285,0.48110348
-30,0.4826175,0.47856247,0.47746348
-29,0.48070547,0.47629148,0.47553846
-28,0.47742847,0.47384548,0.47212446
-27,0.47413248,0.46970546,0.46928447
-26,0.47117648,0.46548748,0.46487746
-25,0.46919748,0.46123847,0.46042946
-24,0.46396247,0.45661545,0.45679545
-23,0.46047145,0.45093045,0.45149046
-22,0.45434844,0.44519046,0.44491243
-21,0.45030546,0.43818045,0.43876445
-20,0.44394043,0.43092445,0.43095443
-19,0.43697143,0.4216884,0.42305642
-18,0.42937744,0.4136284,0.41295043
-17,0.4212064,0.4036894,0.4036234
-16,0.41154242,0.3919654,0.39155838
-15,0.4010154,0.37843838,0.3783604
-14,0.3889814,0.36408335,0.36600336
-13,0.3759904,0.35045135,0.34888834
-12,0.36082935,0.33125234,0.33126634
-11,0.34473535,0.3117533,0.31268832
-10,0.32792133,0.2906513,0.29111728
-9,0.3078393,0.26981726,0.27029628
-8,0.2864253,0.24462925,0.24498925
-7,0.26414028,0.21901523,0.21923022
-6,0.23931424,0.1931022,0.19306919
-5,0.21300021,0.16634516,0.16559017
-4,0.18515119,0.13797113,0.13768914
-3,0.15885615,0.11017411,0.10982411
-2,0.13084613,0.084999084,0.08382108
-1,0.103523105,0.061178062,0.060852062
0,0.07907708,0.041232042,0.041578043
1,0.056664057,0.026148027,0.025924025
2,0.037219036,0.014714015,0.014949015
3,0.023205023,0.0071280072,0.007306007
4,0.012299012,0.003050003,0.003015003
5,0.0059540058,0.0010640011,9.3400094E-4
6,0.0023780023,2.7200027E-4,2.3700023E-4
7,7.6500076E-4,4.000004E-5,4.700005E-5
8,1.880002E-4,4.000004E-6,4.000004E-6
9,3.4000033E-5,0.0,0.0
10,3.000003E-6,0.0,0.0
