SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.22222222,0.33333334,0.22222222
-59,0.7777778,0.33333334,0.5555556
-58,0.33333334,0.6666667,0.6666667
-57,0.33333334,0.5555556,0.33333334
-56,0.6666667,0.44444445,0.44444445
-55,0.33333334,0.22222222,0.44444445
-54,0.44444445,0.7777778,0.44444445
-53,0.6666667,0.33333334,0.6666667
-52,0.5555556,0.44444445,0.33333334
-51,0.6666667,0.11111111,0.44444445
-50,0.5555556,0.44444445,0.6666667
-49,0.33333334,0.44444445,0.5555556
-48,0.44444445,0.44444445,0.33333334
-47,0.33333334,0.7777778,0.5555556
-46,0.33333334,0.8888889,0.22222222
-45,0.6666667,0.5555556,0.44444445
-44,0.6666667,0.5555556,0.44444445
-43,0.44444445,0.5555556,0.5555556
-42,0.33333334,0.7777778,0.22222222
-41,0.44444445,0.5555556,0.22222222
-40,0.7777778,0.5555556,0.5555556
-39,0.33333334,0.33333334,0.33333334
-38,0.5555556,0.44444445,0.44444445
-37,0.5555556,0.6666667,0.5555556
