SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.56565654,0.46464646,0.5050505
-59,0.53535354,0.46464646,0.54545456
-58,0.53535354,0.5050505,0.4949495
-57,0.46464646,0.4848485,0.5858586
-56,0.5555556,0.4848485,0.5959596
-55,0.4949495,0.56565654,0.5555556
-54,0.4848485,0.4848485,0.42424244
-53,0.4949495,0.54545456,0.47474748
-52,0.56565654,0.5252525,0.5151515
-51,0.53535354,0.53535354,0.4848485
-50,0.45454547,0.53535354,0.53535354
-49,0.61616164,0.5555556,0.5959596
-48,0.4848485,0.45454547,0.47474748
-47,0.54545456,0.5252525,0.56565654
-46,0.5151515,0.44444445,0.56565654
-45,0.56565654,0.4949495,0.45454547
-44,0.5252525,0.4949495,0.43434343
-43,0.47474748,0.53535354,0.45454547
-42,0.5252525,0.4949495,0.47474748
-41,0.3838384,0.47474748,0.3838384
-40,0.46464646,0.44444445,0.45454547
-39,0.4848485,0.5151515,0.43434343
-38,0.57575756,0.54545456,0.4040404
-37,0.4949495,0.46464646,0.5050505
-36,0.54545456,0.4848485,0.46464646
-35,0.4848485,0.46464646,0.42424244
-34,0.4949495,0.47474748,0.4949495
-33,0.5555556,0.4848485,0.5858586
-32,0.4848485,0.5151515,0.5252525
-31,0.4848485,0.4848485,0.4949495
-30,0.3939394,0.46464646,0.3838384
-29,0.5555556,0.42424244,0.42424244
-28,0.42424244,0.54545456,0.44444445
-27,0.4949495,0.4949495,0.4949495
-26,0.46464646,0.42424244,0.43434343
-25,0.47474748,0.45454547,0.42424244
-24,0.5151515,0.35353535,0.3939394
-23,0.4848485,0.34343433,0.4848485
-22,0.5050505,0.43434343,0.35353535
-21,0.47474748,0.37373737,0.36363637
-20,0.42424244,0.37373737,0.4040404
-19,0.34343433,0.3131313,0.43434343
-18,0.47474748,0.26262626,0.32323232
-17,0.37373737,0.3939394,0.3838384
-16,0.33333334,0.35353535,0.33333334
-15,0.34343433,0.3030303,0.3838384
-14,0.32323232,0.21212122,0.34343433
-13,0.36363637,0.2929293,0.21212122
-12,0.34343433,0.2020202,0.2929293
-11,0.28282827,0.16161616,0.21212122
-10,0.36363637,0.121212125,0.18181819
-9,0.23232323,0.08080808,0.18181819
-8,0.25252524,0.14141414,0.07070707
-7,0.23232323,0.07070707,0.121212125
-6,0.17171717,0.030303031,0.05050505
-5,0.14141414,0.04040404,0.060606062
-4,0.17171717,0.05050505,0.01010101
-3,0.121212125,0.0,0.02020202
-2,0.08080808,0.0,0.0
-1,0.060606062,0.0,0.01010101
0,0.04040404,0.0,0.01010101
1,0.0,0.01010101,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
