SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.5050505,0.4848485,0.4949495
-59,0.45454547,0.45454547,0.4949495
-58,0.46464646,0.42424244,0.6060606
-57,0.47474748,0.47474748,0.4848485
-56,0.5555556,0.3838384,0.53535354
-55,0.41414142,0.5050505,0.4848485
-54,0.3838384,0.44444445,0.47474748
-53,0.57575756,0.5050505,0.4848485
-52,0.5151515,0.56565654,0.54545456
-51,0.45454547,0.47474748,0.53535354
-50,0.5555556,0.47474748,0.5252525
-49,0.47474748,0.43434343,0.5050505
-48,0.4040404,0.47474748,0.5555556
-47,0.5151515,0.53535354,0.43434343
-46,0.53535354,0.5151515,0.3838384
-45,0.44444445,0.5555556,0.47474748
-44,0.5050505,0.53535354,0.46464646
-43,0.4848485,0.5252525,0.5151515
-42,0.45454547,0.54545456,0.56565654
-41,0.54545456,0.46464646,0.4949495
-40,0.44444445,0.46464646,0.41414142
-39,0.53535354,0.5959596,0.6060606
-38,0.45454547,0.4848485,0.41414142
-37,0.5050505,0.3939394,0.5555556
-36,0.5050505,0.44444445,0.45454547
-35,0.47474748,0.5252525,0.47474748
-34,0.45454547,0.5252525,0.5252525
-33,0.4848485,0.5858586,0.5151515
-32,0.3838384,0.5555556,0.47474748
-31,0.57575756,0.5050505,0.54545456
-30,0.56565654,0.43434343,0.45454547
-29,0.45454547,0.45454547,0.46464646
-28,0.42424244,0.4040404,0.53535354
-27,0.42424244,0.4040404,0.5555556
-26,0.46464646,0.47474748,0.5252525
-25,0.5050505,0.43434343,0.44444445
-24,0.5252525,0.5151515,0.5151515
-23,0.5858586,0.44444445,0.44444445
-22,0.4848485,0.5252525,0.5555556
-21,0.3030303,0.5050505,0.44444445
-20,0.3838384,0.46464646,0.34343433
-19,0.3939394,0.2929293,0.3030303
-18,0.4949495,0.44444445,0.3838384
-17,0.3939394,0.35353535,0.3838384
-16,0.3838384,0.32323232,0.34343433
-15,0.36363637,0.33333334,0.5151515
-14,0.5151515,0.5050505,0.41414142
-13,0.3030303,0.33333334,0.4040404
-12,0.4949495,0.3131313,0.21212122
-11,0.2929293,0.35353535,0.26262626
-10,0.3131313,0.35353535,0.22222222
-9,0.37373737,0.18181819,0.2929293
-8,0.3939394,0.23232323,0.121212125
-7,0.23232323,0.24242425,0.35353535
-6,0.3838384,0.15151516,0.2020202
-5,0.24242425,0.18181819,0.22222222
-4,0.13131313,0.07070707,0.11111111
-3,0.17171717,0.08080808,0.16161616
-2,0.08080808,0.07070707,0.121212125
-1,0.07070707,0.05050505,0.05050505
0,0.02020202,0.030303031,0.07070707
1,0.07070707,0.060606062,0.02020202
2,0.0,0.05050505,0.02020202
3,0.060606062,0.0,0.030303031
4,0.0,0.0,0.01010101
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
