SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.49564958,0.49704972,0.49254924
-59,0.49624962,0.49754974,0.4981498
-58,0.4988499,0.50025004,0.49574956
-57,0.4971497,0.49204922,0.5033503
-56,0.50055003,0.49704972,0.49554956
-55,0.50355035,0.48734874,0.5070507
-54,0.48944893,0.5029503,0.5020502
-53,0.49975,0.49754974,0.5058506
-52,0.510451,0.50155014,0.48944893
-51,0.49674967,0.50225025,0.49874988
-50,0.49704972,0.5017502,0.48944893
-49,0.49975,0.50745076,0.49834985
-48,0.49564958,0.5052505,0.50165015
-47,0.4947495,0.49674967,0.49154916
-46,0.48974898,0.50125015,0.5017502
-45,0.49414942,0.49274927,0.4829483
-44,0.49734974,0.49544954,0.49444944
-43,0.5028503,0.48684868,0.48984897
-42,0.49944994,0.48754877,0.47934794
-41,0.4919492,0.4890489,0.4990499
-40,0.48654866,0.48114812,0.48974898
-39,0.490049,0.47654766,0.4912491
-38,0.49434942,0.48844886,0.48754877
-37,0.49454945,0.47614762,0.4888489
-36,0.50315034,0.48644865,0.48954895
-35,0.4940494,0.48224822,0.4848485
-34,0.4848485,0.49364936,0.4791479
-33,0.48684868,0.4869487,0.4839484
-32,0.48934895,0.47584757,0.47084707
-31,0.49154916,0.47154716,0.48064807
-30,0.48344836,0.4788479,0.4759476
-29,0.48224822,0.4620462,0.46314633
-28,0.4807481,0.4669467,0.4669467
-27,0.47944793,0.45964596,0.46634662
-26,0.46974698,0.45404541,0.4518452
-25,0.45884588,0.44884488,0.44944495
-24,0.46754676,0.4342434,0.45044506
-23,0.46654665,0.43954396,0.43694368
-22,0.44954497,0.42474246,0.43254325
-21,0.45164517,0.43784377,0.40484047
-20,0.4491449,0.41984197,0.41054106
-19,0.43344334,0.40954095,0.39823982
-18,0.4268427,0.38823882,0.38853887
-17,0.42844284,0.37963796,0.37233722
-16,0.4152415,0.35833582,0.35913593
-15,0.4050405,0.34633464,0.3470347
-14,0.38623863,0.33723372,0.33063307
-13,0.38553855,0.3070307,0.3039304
-12,0.36033604,0.2839284,0.28562856
-11,0.3550355,0.26842684,0.2631263
-10,0.330033,0.24292429,0.2349235
-9,0.30243024,0.21562156,0.20992099
-8,0.28132814,0.18611862,0.18551855
-7,0.2650265,0.16331632,0.15931593
-6,0.24252425,0.13411342,0.13361336
-5,0.21182118,0.1010101,0.10721072
-4,0.19631962,0.08120812,0.07830783
-3,0.16491649,0.05390539,0.0640064
-2,0.13341334,0.037603762,0.03850385
-1,0.09750975,0.02110211,0.02490249
0,0.08020802,0.010701071,0.01550155
1,0.05610561,0.00640064,0.0066006603
2,0.03420342,0.00260026,0.0020002
3,0.02330233,6.0006E-4,2.0002E-4
4,0.01420142,0.0,1.0001E-4
5,0.00560056,4.0004E-4,0.0
6,0.00240024,0.0,0.0
7,0.00120012,0.0,0.0
8,1.0001E-4,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
