SNR,TEB_RZ,TEB_NRZ,TEB_NRZT
-60,0.50115013,0.50345033,0.49975
-59,0.5049505,0.50125015,0.4930493
-58,0.5019502,0.49454945,0.50115013
-57,0.49324933,0.4949495,0.49924994
-56,0.5067507,0.5014501,0.5071507
-55,0.4891489,0.49574956,0.49744976
-54,0.50405043,0.49634963,0.49644965
-53,0.5023502,0.50225025,0.49554956
-52,0.50645065,0.49044904,0.49464947
-51,0.49754974,0.50545055,0.4969497
-50,0.49874988,0.50405043,0.49394938
-49,0.4971497,0.49944994,0.4910491
-48,0.4978498,0.4968497,0.50445044
-47,0.48844886,0.49264926,0.5033503
-46,0.49424943,0.48934895,0.4947495
-45,0.49244925,0.49074906,0.4981498
-44,0.5047505,0.49654967,0.49514952
-43,0.5043504,0.50535053,0.4980498
-42,0.4978498,0.48614863,0.5018502
-41,0.48894888,0.49224922,0.4930493
-40,0.4950495,0.49534953,0.48774877
-39,0.49174917,0.49554956,0.49054906
-38,0.49764976,0.4869487,0.49464947
-37,0.4909491,0.490049,0.49014902
-36,0.49114913,0.4919492,0.49014902
-35,0.5019502,0.48764876,0.50135016
-34,0.48524854,0.4830483,0.48474848
-33,0.4788479,0.49624962,0.4839484
-32,0.48344836,0.48674867,0.49484947
-31,0.4830483,0.47544754,0.47664768
-30,0.48704872,0.47664768,0.47344735
-29,0.4812481,0.47664768,0.4757476
-28,0.47154716,0.47474748,0.47614762
-27,0.4688469,0.4731473,0.4720472
-26,0.46974698,0.46164617,0.46524653
-25,0.460046,0.45834583,0.46404642
-24,0.45934594,0.45144513,0.45354536
-23,0.46244624,0.4561456,0.45854586
-22,0.4620462,0.44024402,0.45654565
-21,0.45434543,0.43564355,0.44154415
-20,0.43624362,0.4289429,0.43354335
-19,0.4359436,0.4268427,0.42854285
-18,0.4259426,0.41564158,0.4171417
-17,0.41534153,0.4038404,0.40664068
-16,0.40964097,0.38923892,0.39083907
-15,0.40154016,0.37843785,0.37853786
-14,0.3782378,0.3629363,0.36163616
-13,0.38283828,0.34883487,0.3511351
-12,0.35953596,0.33053306,0.3260326
-11,0.33943394,0.31823182,0.32923293
-10,0.32033202,0.2920292,0.28572857
-9,0.30933094,0.2690269,0.2750275
-8,0.28572857,0.25012502,0.24762477
-7,0.2668267,0.21962196,0.23182318
-6,0.24922492,0.19541954,0.19411941
-5,0.2179218,0.15901591,0.1610161
-4,0.1980198,0.14671467,0.12971297
-3,0.1549155,0.11111111,0.11941194
-2,0.13311331,0.08540854,0.08420842
-1,0.104810484,0.06450645,0.05860586
0,0.07330733,0.04250425,0.03990399
1,0.05180518,0.02680268,0.02720272
2,0.03610361,0.014501451,0.01230123
3,0.02650265,0.0072007203,0.00910091
4,0.01170117,0.00220022,0.0030003001
5,0.00550055,0.0010001,0.0015001501
6,0.0030003001,2.0002E-4,8.0008E-4
7,8.0008E-4,0.0,0.0
8,2.0002E-4,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
